Scientist Jarred,Jarred,M
M
Team 1
Suicune,Hail,Scald,Ice Beam,Blizzard,Icy Rock,Modest,Pressure,31,31,31,31,31,31,252,0,252,4,0,0
Togekiss,Thunder Wave,Double Team,Substitute,Air Slash,Leftovers,Bold,Serene Grace,31,0,31,31,31,31,252,0,252,0,0,4
Glalie,Ice Beam,Shadow Ball,Water Pulse,Safeguard,Scope Lens,Modest,Moody,31,31,31,31,31,31,4,0,0,252,0,252
Team 2
Staraptor,Brave Bird,Double-edge,U-turn,Feather Dance,Muscle Band,Adamant,Reckless,31,31,31,31,31,31,4,252,0,0,0,252
Dewgong,Encore,Disable,Rest,Ice Beam,Chesto Berry,Calm,Thick Fat,31,0,31,31,31,31,252,0,0,0,252,4
Lickilicky,Surf,Ice Beam,Thunderbolt,Shadow Ball,Expert Belt,Modest,Oblivious,31,0,31,31,31,31,252,0,4,252,0,0
Team 3
Lucario,Close Combat,Meteor Mash,Ice Punch,Bullet Punch,Lum Berry,Jolly,Inner Focus,31,31,31,31,31,31,4,252,0,0,0,252
Flygon,Boomburst,Draco Meteor,Earth Power,Flamethrower,Choice Specs,Modest,Levitate,31,31,31,31,31,31,4,0,0,252,0,252
Exeggutor,Trick Room,Giga Drain,Psychic,Sludge Bomb,Sitrus Berry,Quiet,Harvest,31,31,31,31,31,31,252,0,4,252,0,0
Team 4
Lucario,Close Combat,Meteor Mash,Ice Punch,Bullet Punch,Lum Berry,Jolly,Inner Focus,31,31,31,31,31,31,4,252,0,0,0,252
Flygon,Earthquake,Outrage,Thunder Punch,Dragon Dance,Focus Sash,Jolly,Levitate,31,0,31,31,31,31,4,252,0,0,0,252
Porygon-Z,Tri Attack,Thunderbolt,Ice Beam,Shadow Ball,Silk Scarf,Timid,Adaptability,31,31,31,31,31,31,4,0,0,252,0,252
