Ruin Maniac Jaylin,Jaylin,M
M
Team 1
Golem,Sandstorm,Defense Curl,Rock Blast,Gyro Ball,Focus Band,Brave,Sand Veil,31,31,31,0,31,0,252,252,4,0,0,0
Meganium,Leech Seed,Leaf Storm,Light Screen,Reflect,Light Clay,Bold,Overgrow,31,0,31,31,31,31,252,0,252,4,0,0
Charizard,Flare Blitz,Wing Attack,Dragon Rush,Dragon Dance,King's Rock,Adamant,Blaze,31,31,31,0,31,31,4,252,0,0,0,252
Team 2
Politoed,Belly Drum,Waterfall,Earthquake,Rest,Salac Berry,Careful,Drizzle,31,31,31,31,31,31,252,0,0,0,252,4
Gliscor,Earthquake,Guillotine,Poison Jab,Thunder Fang,Yache Berry,Jolly,Hyper Cutter,31,31,31,0,31,31,4,252,0,0,0,252
Suicune,Calm Mind,Rest,Scald,Ice Beam,Chesto Berry,Calm,Pressure,31,31,31,31,31,31,252,0,0,0,252,4
Team 3
Staraptor,Final Gambit,U-turn,-,-,Choice Scarf,Jolly,Intimidate,31,31,31,31,31,31,4,252,0,0,0,252
Cradily,Giga Drain,Sludge Bomb,Stockpile,Leech Seed,Leftovers,Bold,Storm Drain,31,31,31,31,31,31,252,0,252,4,0,0
Weezing,Fire Blast,Sludge Bomb,Will-o-wisp,Pain Split,Black Sludge,Bold,Levitate,31,31,31,31,31,31,252,0,252,4,0,0
Team 4
Staraptor,Final Gambit,U-turn,-,-,Choice Scarf,Jolly,Intimidate,31,31,31,31,31,31,4,252,0,0,0,252
Mamoswine,Earthquake,Icicle Spear,Ice Shard,Rock Tomb,Focus Sash,Jolly,Thick Fat,31,31,31,31,31,31,0,252,4,0,0,252
Togekiss,Air Slash,Flamethrower,Dazzling Gleam,Thunder Wave,Scope Lens,Timid,Super Luck,31,31,31,31,31,31,4,0,0,252,0,252
