Gentleman Jerrell,Jerrell,M
M
Team 1
Porygon-Z,Thunderbolt,Ice Beam,Shadow Ball,Tri Attack,Bright Powder,Timid,Download,31,31,31,0,31,31,4,0,0,252,0,252
Hariyama,Belly Drum,Brick Break,Earthquake,Stone Edge,Quick Claw,Impish,Thick Fat,31,31,31,0,31,31,252,0,252,0,4,0
Registeel,Curse,Rest,Flash Cannon,Metal Claw,Chesto Berry,Relaxed,Clear Body,31,31,31,31,31,31,252,0,4,252,0,0
Team 2
Suicune,Calm Mind,Rest,Scald,Ice Beam,Chesto Berry,Bold,Pressure,31,31,31,31,31,31,252,0,252,0,0,4
Machamp,Rock Slide,Dynamic Punch,Ice Punch,Thunder Punch,Muscle Band,Jolly,No Guard,31,31,31,0,31,31,4,252,0,0,0,252
Drifblim,Phantom Force,Explosion,Memento,Destiny Bond,Apicot Berry,Adamant,Aftermath,31,31,31,0,31,31,4,252,0,0,0,252
Team 3
Scizor,Bullet Punch,Thief,Roost,Swords Dance,Sitrus Berry,Adamant,Technician,31,31,31,31,31,31,236,252,20,0,0,0
Lucario,Close Combat,Meteor Mash,Ice Punch,Bullet Punch,Lum Berry,Jolly,Inner Focus,31,31,31,31,31,31,4,252,0,0,0,252
Breloom,Spore,Mach Punch,Counter,Bullet Seed,Focus Sash,Jolly,Technician,31,31,31,31,31,31,4,252,0,0,0,252
Team 4
Scizor,Bullet Punch,Thief,Roost,Swords Dance,Sitrus Berry,Adamant,Technician,31,31,31,31,31,31,236,252,20,0,0,0
Lucario,Aura Sphere,Flash Cannon,Dark Pulse,Vacuum Wave,Focus Sash,Modest,Inner Focus,31,0,31,31,31,31,4,0,0,252,0,252
Venusaur,Giga Drain,Sludge Bomb,Earth Power,Sleep Powder,Black Sludge,Modest,Overgrow,31,31,31,31,31,31,252,0,4,252,0,0
