Cameraman Jess,Jess,M
M
Team 1
Froslass,Light Screen,Ice Beam,Shadow Ball,Psychic,Lax Incense,Timid,Cursed Body,31,31,31,31,31,31,4,0,0,252,0,252
Swampert,Waterfall,Earthquake,Ice Punch,Curse,Sitrus Berry,Brave,Torrent,31,31,31,31,31,31,252,252,4,0,0,0
Mamoswine,Fissure,Double Team,Avalanche,Earthquake,Leftovers,Careful,Thick Fat,31,31,31,0,31,31,252,4,0,0,252,0
Team 2
Registeel,Rain Dance,Thunder,Stealth Rock,Protect,Damp Rock,Timid,Clear Body,31,31,31,31,31,31,4,0,0,252,0,252
Electivire,Thunder,Dynamic Punch,Rock Slide,Iron Tail,Wide Lens,Relaxed,Motor Drive,31,31,31,31,31,31,252,0,252,0,4,0
Staraptor,Brave Bird,Roost,Endure,Endeavor,Razor Claw,Adamant,Intimidate,31,31,31,0,31,31,4,252,0,0,0,252
Team 3
Suicune,Rest,Sleep Talk,Scald,Ice Beam,Leftovers,Bold,Pressure,31,31,31,31,31,31,252,0,252,4,0,0
Starmie,Hydro Pump,Dazzling Gleam,Ice Beam,Psychic,Focus Sash,Timid,Natural Cure,31,31,31,31,31,31,4,0,0,252,0,252
Typhlosion,Eruption,Flamethrower,Extrasensory,Focus Blast,Choice Scarf,Modest,Flash Fire,31,31,31,31,31,31,4,0,0,252,0,252
Team 4
Suicune,Calm Mind,Rest,Scald,Ice Beam,Chesto Berry,Bold,Pressure,31,31,31,31,31,31,252,0,252,0,0,4
Venusaur,Giga Drain,Sludge Bomb,Earth Power,Sleep Powder,Black Sludge,Modest,Overgrow,31,31,31,31,31,31,252,0,4,252,0,0
Flygon,Earthquake,Outrage,Thunder Punch,Dragon Dance,Focus Sash,Jolly,Levitate,31,0,31,31,31,31,4,252,0,0,0,252
