Hiker Jessy,Jessy,6,7
6
Team 1
Cradily,Stockpile,Recover,Leech Seed,Swagger,Focus Band,Bold,Storm Drain,31,0,31,20,31,20,204,0,204,60,0,0
Starmie,Hydro Pump,Thunderbolt,Ice Beam,Psychic,Focus Sash,Timid,Natural Cure,31,0,20,31,20,31,52,0,0,204,0,252
Weavile,Night Slash,Ice Punch,Ice Shard,Shadow Claw,Razor Claw,Jolly,Pressure,31,31,20,0,20,31,60,204,0,0,0,204
Team 2
Nidoqueen,Sludge Bomb,Ice Beam,Thunderbolt,Flamethrower,Life Orb,Modest,Sheer Force,31,0,20,31,20,31,60,0,0,204,0,204
Steelix,Thunder Fang,Fire Fang,Ice Fang,Crunch,Occa Berry,Bold,Sturdy,31,0,31,31,20,20,204,0,204,60,0,0
Porygon2,Magnet Rise,Conversion,Recover,Charge Beam,Leftovers,Calm,Analytic,31,0,20,31,31,20,204,0,0,60,204,0
7
Team 3
Gengar,Shadow Ball,Psychic,Energy Ball,Focus Blast,Focus Sash,Timid,Cursed Body,31,0,20,31,20,31,60,0,0,204,0,204
Hippowdon,Yawn,Stealth Rock,Roar,Ice Fang,Passho Berry,Careful,Sand Stream,31,25,31,0,31,25,220,0,44,0,220,0
Mamoswine,Hail,Blizzard,Mud Shot,Ancient Power,Icy Rock,Modest,Snow Cloak,31,0,25,31,25,31,44,0,0,220,0,220
