Collector Jim,Jim,6,7
6
Team 1
Toxicroak,Poison Jab,Drain Punch,Sucker Punch,Flatter,Black Glasses,Adamant,Dry Skin,31,31,20,0,20,31,60,204,0,0,0,204
Starmie,Hydro Pump,Thunderbolt,Ice Beam,Psychic,Focus Sash,Timid,Natural Cure,31,0,20,31,20,31,52,0,0,204,0,252
Yanmega,Aerial Ace,Steel Wing,Thief,U-turn,Charti Berry,Adamant,Speed Boost,31,31,20,0,20,31,60,204,0,0,0,204
Team 2
Rapidash,Sunny Day,Fire Blast,Solar Beam,Rest,Chesto Berry,Modest,Flame Body,31,0,20,31,20,31,60,0,0,204,0,204
Porygon2,Magnet Rise,Conversion,Recover,Charge Beam,Leftovers,Calm,Analytic,31,0,20,31,31,20,204,0,0,60,204,0
Claydol,Rock Polish,Earthquake,Rock Slide,Psychic,Hard Stone,Hardy,Levitate,31,31,20,31,20,20,204,204,0,60,0,0
7
Team 3
Probopass,Rock Polish,Stealth Rock,Lock-on,Stone Edge,Rock Incense,Impish,Sturdy,31,31,31,31,31,31,220,44,220,0,0,0
Blaziken,Protect,Close Combat,Flare Blitz,Baton Pass,Life Orb,Jolly,Blaze,31,31,25,0,25,31,68,220,0,0,0,220
Dragonite,Outrage,Aqua Tail,Iron Tail,Stone Edge,Wide Lens,Adamant,Multiscale,31,31,25,0,25,31,36,252,0,0,0,220
