Guitarist Jimmie,Jimmie,3,4
3
Team 1
Tangela,Mega Drain,Slam,Leech Seed,Bind,Lax Incense,Hardy,Regenerator,31,0,31,0,31,0,108,0,108,0,108,0
Dragonair,Dragon Breath,Leer,Wrap,Safeguard,Cheri Berry,Docile,Shed Skin,31,31,0,0,0,31,108,108,0,0,0,108
Misdreavus,Pain Split,Shadow Ball,Confuse Ray,Thunder Wave,Focus Band,Impish,Levitate,31,0,31,0,31,0,108,0,108,0,108,0
Team 2
Charmeleon,Slash,Fire Spin,Swords Dance,Aerial Ace,Scope Lens,Naughty,Blaze,31,31,0,0,0,31,108,108,0,0,0,108
Mightyena,Bite,Poison Fang,Taunt,Roar,Mental Herb,Jolly,Intimidate,31,31,0,0,0,31,108,108,0,0,0,108
Swellow,Fly,Endeavor,Facade,Quick Attack,Flame Orb,Adamant,Guts,31,31,0,0,0,31,108,108,0,0,0,108
4
Team 3
Fearow,Drill Peck,Tri Attack,Facade,Roost,Sharp Beak,Adamant,Keen Eye,31,31,0,0,0,31,148,148,0,0,0,148
Kabutops,Slash,Dig,Night Slash,Metal Sound,Scope Lens,Adamant,Swift Swim,31,31,10,10,10,31,148,148,0,0,0,148
Primeape,Cross Chop,Stomping Tantrum,Swagger,Thief,Sitrus Berry,Quirky,Defiant,31,31,0,0,0,31,148,148,0,0,0,148
Team 4
Metang,Metal Claw,Confusion,Take Down,Scary Face,Focus Band,Hardy,Clear Body,31,31,0,0,0,31,108,108,0,0,0,108
Primeape,Cross Chop,Stomping Tantrum,Swagger,Thief,Sitrus Berry,Quirky,Defiant,31,31,0,0,0,31,148,148,0,0,0,148
Pidgeot,U-turn,Feather Dance,Brave Bird,Quick Attack,Sharp Beak,Jolly,Big Pecks,31,31,10,10,10,31,148,148,0,0,0,148
