Pokémon Ranger♀ Joy,Joy,7,M
7
Team 1
Lucario,Dark Pulse,Dragon Pulse,Aura Sphere,Nasty Plot,Bright Powder,Modest,Inner Focus,31,0,25,31,25,31,44,0,0,220,0,220
Honchkrow,Night Slash,Sky Attack,Brave Bird,Payback,Power Herb,Jolly,Super Luck,31,31,20,0,20,31,60,204,0,0,0,204
Gallade,Psycho Cut,Poison Jab,Thunder Wave,Confuse Ray,King's Rock,Jolly,Justified,31,31,20,0,20,31,60,204,0,0,0,204
Team 2
Lucario,Dark Pulse,Dragon Pulse,Aura Sphere,Nasty Plot,Bright Powder,Modest,Inner Focus,31,0,25,31,25,31,44,0,0,220,0,220
Mamoswine,Hail,Blizzard,Mud Shot,Ancient Power,Icy Rock,Modest,Snow Cloak,31,0,25,31,25,31,44,0,0,220,0,220
Charizard,Flare Blitz,Aerial Ace,Crunch,Dragon Claw,Scope Lens,Adamant,Blaze,31,31,25,0,25,31,44,220,0,0,0,220
M
Team 3
Toxicroak,Fling,Poison Jab,Taunt,Sucker Punch,Light Ball,Jolly,Dry Skin,31,31,31,0,31,31,4,252,0,0,0,252
Bronzong,Gyro Ball,Body Press,Iron Defense,Earthquake,Custap Berry,Brave,Levitate,31,31,31,31,31,0,252,252,4,0,0,0
Yanmega,Detect,Air Slash,Bug Buzz,Giga Drain,Lum Berry,Modest,Speed Boost,31,31,31,0,31,31,4,252,0,0,0,252
Team 4
Registeel,Rain Dance,Thunder,Stealth Rock,Protect,Damp Rock,Timid,Clear Body,31,31,31,31,31,31,4,0,0,252,0,252
Cradily,Sandstorm,Ancient Power,Giga Drain,Hyper Beam,Quick Claw,Modest,Storm Drain,31,0,31,31,31,31,252,0,4,252,0,0
Scizor,X-scissor,Iron Head,Aerial Ace,Night Slash,Occa Berry,Adamant,Swarm,31,31,31,31,31,31,236,252,20,0,0,0
