Poké Kid Juliana,Juliana,6,7
6
Team 1
Scizor,Bullet Punch,Quick Attack,U-turn,Thief,Choice Band,Adamant,Technician,31,31,31,0,20,20,204,204,60,0,0,0
Blaziken,Aerial Ace,Flare Blitz,Will-o-wisp,Bulk Up,Shell Bell,Adamant,Blaze,31,31,31,31,31,31,148,148,4,4,4,148
Manectric,Spark,Ice Fang,Bite,Howl,Magnet,Jolly,Lightning Rod,31,31,15,15,15,31,148,148,4,4,4,148
Team 2
Rhydon,Ice Beam,Thunderbolt,Dragon Pulse,Surf,Wise Glasses,Quiet,Lightning Rod,31,15,31,31,15,15,148,4,148,148,4,4
Nidoking,Sludge Bomb,Ice Beam,Thunderbolt,Flamethrower,Life Orb,Modest,Sheer Force,31,0,20,31,20,31,60,0,0,204,0,204
Machamp,Counter,Dynamic Punch,Payback,Earthquake,Focus Sash,Adamant,No Guard,31,31,20,0,20,31,60,204,0,0,0,204
7
Team 3
Ampharos,Thunder Wave,Facade,Fling,Rest,Toxic Orb,Mild,Static,31,20,31,20,31,0,204,0,60,0,204,0
Tyranitar,Dark Pulse,Ice Beam,Flamethrower,Ancient Power,Expert Belt,Modest,Sand Stream,31,0,25,31,25,31,44,0,0,220,0,220
Typhlosion,Eruption,Earthquake,Endure,Reversal,Salac Berry,Docile,Blaze,0,31,25,31,25,31,0,44,0,220,0,220
