Cyclist♀ Kaden,Kaden,3,4
3
Team 1
Combusken,Ember,Double Kick,Quick Attack,Sand Attack,Scope Lens,Docile,Blaze,0,31,31,0,0,31,0,108,108,0,0,108
Mightyena,Bite,Poison Fang,Taunt,Roar,Mental Herb,Jolly,Intimidate,31,31,0,0,0,31,108,108,0,0,0,108
Magcargo,Rock Slide,Ember,Acid Armor,Sandstorm,Lax Incense,Gentle,Flame Body,31,31,0,31,0,0,108,108,0,108,0,0
Team 2
Haunter,Shadow Punch,Confuse Ray,Spite,Grudge,Persim Berry,Rash,Levitate,0,31,0,0,0,31,0,108,0,0,0,108
Gabite,Dragon Claw,Take Down,Sand Attack,Roar,Yache Berry,Hardy,Rough Skin,31,31,0,0,0,31,108,108,0,0,0,108
Charmeleon,Slash,Fire Spin,Swords Dance,Aerial Ace,Scope Lens,Naughty,Blaze,31,31,0,0,0,31,108,108,0,0,0,108
4
Team 3
Sealeo,Blizzard,Hail,Snore,Rest,Icy Rock,Relaxed,Ice Body,31,0,31,0,31,0,108,0,108,0,108,0
Sandslash,Crush Claw,Rock Slide,Earthquake,Sandstorm,Sitrus Berry,Adamant,Sand Rush,31,31,0,0,0,31,148,148,0,0,0,148
Clefable,Moonblast,Flamethrower,Thunderbolt,Moonlight,Life Orb,Modest,Magic Guard,31,10,10,31,10,31,148,0,0,148,0,148
Team 4
Prinplup,Whirlpool,Metal Claw,Peck,Double Team,Wacan Berry,Bashful,Torrent,31,31,0,0,0,31,108,108,0,0,0,108
Ninjask,Baton Pass,Swords Dance,Endure,Dig,Petaya Berry,Mild,Speed Boost,31,31,10,10,10,31,148,148,0,0,0,148
Camerupt,Eruption,Protect,Sandstorm,Rock Slide,Sitrus Berry,Quirky,Solid Rock,31,10,10,31,10,31,148,0,0,148,0,148
Team 5
Golbat,Poison Fang,Confuse Ray,Wing Attack,Steel Wing,Scope Lens,Jolly,Inner Focus,31,31,0,0,0,31,148,148,0,0,0,148
Prinplup,Whirlpool,Metal Claw,Peck,Double Team,Wacan Berry,Bashful,Torrent,31,31,0,0,0,31,108,108,0,0,0,108
Bayleef,Razor Leaf,Synthesis,Safeguard,Light Screen,Bright Powder,Docile,Overgrow,31,0,0,31,0,31,108,0,0,108,0,108
Team 6
Omastar,Bubble Beam,Rock Blast,Tickle,Ancient Power,Shell Bell,Quirky,Swift Swim,31,31,10,31,10,10,148,148,0,148,0,0
Venomoth,Bug Buzz,Psybeam,Sleep Powder,Skill Swap,Persim Berry,Quirky,Shield Dust,31,0,0,31,0,31,148,0,0,148,0,148
Dusclops,Will-o-wisp,Night Shade,Pain Split,Confuse Ray,Leftovers,Impish,Pressure,31,31,31,31,31,31,148,0,148,0,148,0
Team 7
Crawdaunt,Superpower,Rock Slide,Knock Off,Aqua Jet,Choice Band,Adamant,Adaptability,31,31,10,10,10,31,148,148,0,0,0,148
Sharpedo,Slash,Bite,Water Pulse,Scary Face,Scope Lens,Adamant,Speed Boost,31,31,10,10,10,31,148,148,0,0,0,148
Clefable,Moonblast,Flamethrower,Thunderbolt,Moonlight,Life Orb,Modest,Magic Guard,31,10,10,31,10,31,148,0,0,148,0,148
Team 8
Xatu,Air Slash,Night Shade,Wish,Future Sight,Sharp Beak,Hardy,Magic Bounce,31,10,10,31,10,31,148,0,0,148,0,148
Magmar,Flamethrower,Smokescreen,Brick Break,Psychic,Rawst Berry,Relaxed,Flame Body,31,31,10,31,10,10,148,148,0,148,0,0
Girafarig,Psybeam,Thunderbolt,Wish,Skill Swap,Petaya Berry,Quiet,Sap Sipper,31,0,0,31,31,0,148,0,0,148,148,0
