Madame Kailey,Kailey,7,M
7
Team 1
Jolteon,Thunderbolt,Volt Switch,Shadow Ball,Yawn,Magnet,Timid,Volt Absorb,31,0,25,31,25,31,36,0,0,220,0,252
Dugtrio,Swagger,Attract,Sand Attack,Sucker Punch,Bright Powder,Careful,Arena Trap,25,31,25,0,31,31,0,220,0,0,220,44
Venusaur,Leech Seed,Ingrain,Giga Drain,Sleep Powder,Big Root,Bold,Overgrow,31,0,31,31,25,25,220,0,220,44,0,0
M
Team 2
Donphan,Earthquake,Ice Shard,Rock Slide,Play Rough,Lum Berry,Adamant,Sturdy,31,31,20,0,20,31,60,204,20,0,20,204
Porygon-Z,Tri Attack,Shadow Ball,Ice Beam,Thunderbolt,Choice Specs,Modest,Download,31,0,25,31,25,31,36,0,0,252,0,220
Blaziken,Protect,Close Combat,Flare Blitz,Baton Pass,Life Orb,Jolly,Blaze,31,31,25,0,25,31,68,220,0,0,0,220
Team 3
Gardevoir,Moonblast,Psychic,Thunderbolt,Mystical Fire,Choice Scarf,Modest,Trace,31,0,31,31,31,31,4,0,0,252,0,252
Metagross,Psychic,Flash Cannon,Shadow Ball,Sludge Bomb,Wise Glasses,Modest,Clear Body,31,0,31,31,31,31,4,0,0,252,0,252
Moltres,Sunny Day,Flamethrower,Solar Beam,Endure,Heat Rock,Timid,Flame Body,31,31,31,31,31,31,4,0,0,252,0,252
