Idol Kari,Kari,6,7
6
Team 1
Luxray,Charge,Charge Beam,Thunderbolt,Flash,Shuca Berry,Quiet,Intimidate,31,20,31,31,20,20,204,0,60,204,0,0
Gardevoir,Psychic,Shadow Ball,Thunder Wave,Confuse Ray,Lum Berry,Timid,Synchronize,31,0,20,31,20,31,60,0,0,204,0,204
Tentacruel,Acupressure,Rest,Sleep Talk,Surf,Leftovers,Calm,Liquid Ooze,31,0,20,31,31,20,204,0,0,60,204,0
Team 2
Gliscor,Earthquake,Guillotine,Fire Fang,Acrobatics,Sitrus Berry,Impish,Hyper Cutter,31,31,31,0,20,20,204,60,204,0,0,0
Ninetales,Solar Beam,Disable,Will-o-wisp,Flamethrower,Rawst Berry,Timid,Drought,31,31,31,31,31,31,60,0,0,204,0,204
Golduck,Psychic,Disable,Surf,Brick Break,Pecha Berry,Naive,Cloud Nine,20,31,20,31,20,31,0,60,0,204,0,204
7
Team 3
Garchomp,Outrage,Swords Dance,Stone Edge,Earthquake,Persim Berry,Jolly,Rough Skin,31,31,25,0,25,31,36,220,0,0,0,252
Togekiss,Extreme Speed,Aerial Ace,Steel Wing,Roost,Wide Lens,Adamant,Hustle,31,31,25,0,25,31,44,220,0,0,0,220
Starmie,Hydro Pump,Thunderbolt,Ice Beam,Psychic,Focus Sash,Timid,Natural Cure,31,0,20,31,20,31,52,0,0,204,0,252
