Rancher Kellen,Kellen,7,M
7
Team 1
Typhlosion,Eruption,Earthquake,Endure,Reversal,Salac Berry,Docile,Blaze,0,31,25,31,25,31,0,44,0,220,0,220
Nidoqueen,Sludge Bomb,Ice Beam,Thunderbolt,Flamethrower,Life Orb,Modest,Sheer Force,31,0,20,31,20,31,60,0,0,204,0,204
Miltank,Defense Curl,Rollout,Milk Drink,Seismic Toss,Muscle Band,Impish,Thick Fat,31,31,31,0,20,20,204,204,60,0,0,0
M
Team 2
Gengar,Shadow Ball,Psychic,Energy Ball,Focus Blast,Focus Sash,Timid,Cursed Body,31,0,20,31,20,31,60,0,0,204,0,204
Lapras,Dragon Dance,Body Slam,Waterfall,Ice Shard,Lum Berry,Adamant,Shell Armor,31,31,25,0,25,31,44,220,0,0,0,220
Blaziken,Protect,Close Combat,Flare Blitz,Baton Pass,Life Orb,Jolly,Blaze,31,31,25,0,25,31,68,220,0,0,0,220
Team 3
Tyranitar,Earthquake,Dragon Claw,Shadow Claw,Iron Head,Quick Claw,Adamant,Sand Stream,31,31,31,0,31,31,4,252,0,0,0,252
Raichu,Thunder Punch,Feint,Brick Break,Double Team,Focus Band,Jolly,Lightning Rod,31,31,31,0,31,31,4,252,0,0,0,252
Dewgong,Encore,Disable,Rest,Ice Beam,Chesto Berry,Calm,Thick Fat,31,0,31,31,31,31,252,0,0,0,252,4
