Clown Kendel,Kendel,M
M
Team 1
Lucario,Aura Sphere,Flash Cannon,Dark Pulse,Vacuum Wave,Focus Sash,Modest,Inner Focus,31,0,31,31,31,31,4,0,0,252,0,252
Nidoking,Earth Power,Dragon Pulse,Sludge Bomb,Sandstorm,Wise Glasses,Modest,Sheer Force,31,0,31,31,31,31,4,0,0,252,0,252
Rhyperior,Stone Edge,Megahorn,Dragon Rush,Avalanche,Zoom Lens,Impish,Solid Rock,31,31,31,0,31,31,252,4,252,0,0,0
Team 2
Cradily,Mirror Coat,Energy Ball,Stone Edge,Ingrain,Sitrus Berry,Relaxed,Storm Drain,31,31,31,31,31,31,252,0,252,0,4,0
Regirock,Superpower,Stone Edge,Rock Tomb,Strength,Passho Berry,Adamant,Sturdy,31,31,31,31,31,31,4,252,0,0,0,252
Drapion,Toxic Spikes,Double Team,Roar,Payback,Leftovers,Impish,Battle Armor,31,31,31,0,31,31,252,4,252,0,0,0
Team 3
Tangrowth,Giga Drain,Focus Blast,Sludge Bomb,Sleep Powder,Sitrus Berry,Modest,Regenerator,31,31,31,31,31,31,252,0,4,252,0,0
Leafeon,Leaf Blade,Leech Seed,Synthesis,Protect,Leftovers,Careful,Chlorophyll,31,31,31,31,31,31,252,4,0,0,252,0
Drapion,Night Slash,Cross Poison,Earthquake,Ice Fang,Scope Lens,Impish,Sniper,31,31,31,31,31,31,108,252,68,0,4,76
Team 4
Tangrowth,Knock Off,Rock Tomb,Leech Seed,Poison Jab,Leftovers,Impish,Regenerator,31,31,31,31,31,31,252,4,252,0,0,0
Snorlax,Body Slam,Curse,Heavy Slam,Yawn,Figy Berry,Adamant,Gluttony,31,31,31,31,31,31,4,252,252,0,0,0
Typhlosion,Eruption,Flamethrower,Extrasensory,Focus Blast,Choice Scarf,Modest,Flash Fire,31,31,31,31,31,31,4,0,0,252,0,252
