Bug Catcher Kenyon,Kenyon,2,3
2
Team 1
Poliwhirl,Water Pulse,Earth Power,Hypnosis,Rain Dance,Petaya Berry,Quirky,Water Absorb,31,0,0,31,0,0,108,0,0,108,0,0
Chimchar,Flame Wheel,Acrobatics,Fury Swipes,Bulk Up,Focus Sash,Jolly,Blaze,0,31,0,0,0,31,0,108,0,0,0,108
Cubone,Bonemerang,Headbutt,Brick Break,Aerial Ace,Soft Sand,Adamant,Battle Armor,31,31,0,0,0,0,108,108,0,0,0,0
Team 2
Larvitar,Thrash,Rock Slide,Dig,Bite,Persim Berry,Jolly,Guts,0,31,0,0,0,31,0,108,0,0,0,108
Aipom,Fury Swipes,Sand Attack,Baton Pass,Agility,Silk Scarf,Jolly,Skill Link,0,31,0,0,0,31,0,108,0,0,0,108
Lileep,Giga Drain,Acid,Ingrain,Confuse Ray,Lax Incense,Docile,Storm Drain,31,0,0,31,0,0,108,0,0,108,0,0
3
Team 3
Lairon,Metal Claw,Rock Tomb,Iron Defense,Protect,Metal Coat,Sassy,Sturdy,31,31,0,0,0,31,108,108,0,0,0,108
Kecleon,Brick Break,Psybeam,Magic Coat,Shadow Sneak,Focus Band,Naive,Color Change,31,0,31,0,0,31,108,0,108,0,0,108
Qwilfish,Bubble Beam,Pin Missile,Spikes,Minimize,Cheri Berry,Impish,Intimidate,31,0,31,0,31,0,108,0,108,0,108,0
