Sailor Kerry,Kerry,3,4
3
Team 1
Lunatone,Confusion,Cosmic Power,Light Screen,Sandstorm,Sitrus Berry,Quiet,Levitate,31,0,31,0,31,0,108,0,108,0,108,0
Mightyena,Bite,Poison Fang,Taunt,Roar,Mental Herb,Jolly,Intimidate,31,31,0,0,0,31,108,108,0,0,0,108
Sudowoodo,Rock Slide,Double-edge,Sandstorm,Block,Hard Stone,Hardy,Rock Head,31,31,31,31,31,31,108,108,0,0,0,108
Team 2
Seadra,Aurora Beam,Smokescreen,Water Gun,Rain Dance,Mystic Water,Sassy,Sniper,31,0,0,31,0,31,108,0,0,108,0,108
Munchlax,Metronome,Recycle,Stockpile,Fissure,Figy Berry,Relaxed,Gluttony,31,0,31,0,0,0,108,0,108,0,0,0
Spinda,Flail,Teeter Dance,Psybeam,Icy Wind,Silk Scarf,Relaxed,Own Tempo,31,0,31,0,0,0,108,0,108,0,0,0
4
Team 3
Jumpluff,Aerial Ace,Swagger,Psych Up,Synthesis,Lax Incense,Docile,Chlorophyll,31,0,0,31,0,31,148,0,0,148,0,148
Kabutops,Slash,Dig,Night Slash,Metal Sound,Scope Lens,Adamant,Swift Swim,31,31,10,10,10,31,148,148,0,0,0,148
Torkoal,Lava Plume,Earthquake,Stealth Rock,Yawn,Sitrus Berry,Relaxed,Drought,31,10,31,10,31,10,148,0,148,0,148,0
Team 4
Cherrim,Petal Dance,Weather Ball,Leech Seed,Sunny Day,Miracle Seed,Hardy,Flower Gift,31,31,0,31,0,0,108,108,0,108,0,0
Jumpluff,Aerial Ace,Swagger,Psych Up,Synthesis,Lax Incense,Docile,Chlorophyll,31,0,0,31,0,31,148,0,0,148,0,148
Octillery,Octazooka,Ice Beam,Psychic,Protect,Leftovers,Modest,Moody,31,10,10,31,10,31,148,0,0,148,0,148
Team 5
Chatot,Chatter,Torment,Sing,U-turn,Yache Berry,Bashful,Big Pecks,31,0,0,31,0,31,108,0,0,108,0,108
Carnivine,Power Whip,Crunch,Sweet Scent,Leech Seed,Rose Incense,Sassy,Levitate,31,0,31,0,31,0,148,0,148,0,148,0
Rotom,Thunderbolt,Shadow Ball,Thunder Wave,Confuse Ray,Cheri Berry,Modest,Levitate,31,0,0,31,0,31,148,0,0,148,0,148
