Aroma Lady Kierra,Kierra,2,3
2
Team 1
Bonsly,Fake Tears,Rock Throw,Copycat,Low Kick,Passho Berry,Careful,Sturdy,31,0,0,0,31,0,108,0,0,0,108,0
Munchlax,Metronome,Recycle,Stockpile,Fissure,Figy Berry,Relaxed,Gluttony,31,0,31,0,0,0,108,0,108,0,0,0
Wailmer,Whirlpool,Roar,Defense Curl,Rollout,Mystic Water,Docile,Oblivious,31,0,31,0,0,0,108,0,108,0,0,0
Team 2
Illumise,Bug Buzz,Wish,Quick Attack,Helping Hand,Liechi Berry,Quirky,Tinted Lens,31,0,0,31,0,0,108,0,0,108,0,0
Plusle,Spark,Fake Tears,Quick Attack,Helping Hand,Petaya Berry,Docile,Plus,0,31,0,0,0,31,0,108,0,0,0,108
Gloom,Petal Dance,Acid,Stun Spore,Moonlight,Persim Berry,Modest,Chlorophyll,31,0,0,31,0,0,108,0,0,108,0,0
3
Team 3
Metang,Metal Claw,Confusion,Take Down,Scary Face,Focus Band,Hardy,Clear Body,31,31,0,0,0,31,108,108,0,0,0,108
Shelgon,Headbutt,Dragon Breath,Protect,Scary Face,Cheri Berry,Hardy,Overcoat,31,31,0,0,0,31,108,108,0,0,0,108
Mothim,Psybeam,Gust,Poison Powder,Bug Buzz,Coba Berry,Modest,Tinted Lens,31,0,0,31,0,31,108,0,0,108,0,108
