Battle Girl Kristy,Kristy,7,M
7
Team 1
Wailord,Defense Curl,Rollout,Waterfall,Avalanche,Wacan Berry,Adamant,Pressure,31,31,20,0,20,31,60,204,0,0,0,204
Magnezone,Thunderbolt,Flash Cannon,Tri Attack,Volt Switch,Quick Claw,Modest,Sturdy,31,0,25,31,25,31,44,0,0,220,0,220
Blissey,Ice Beam,Thunderbolt,Flamethrower,Soft-boiled,Leftovers,Bold,Serene Grace,31,31,31,31,31,31,0,0,220,0,44,220
M
Team 2
Starmie,Hydro Pump,Thunderbolt,Ice Beam,Psychic,Focus Sash,Timid,Natural Cure,31,0,31,31,31,31,4,0,0,252,0,252
Ambipom,Double Hit,Thief,Dual Chop,Fake Out,Muscle Band,Jolly,Technician,31,31,31,31,31,31,20,244,84,0,4,156
Articuno,Agility,Ice Beam,Water Pulse,Rest,Chesto Berry,Modest,Pressure,31,31,31,31,31,31,252,0,0,252,0,4
Team 3
Ampharos,Thunder Wave,Charge Beam,Dragon Pulse,Rest,Chesto Berry,Bold,Static,31,31,31,31,31,31,252,0,252,0,4,0
Registeel,Iron Defense,Rest,Substitute,Earthquake,Occa Berry,Adamant,Clear Body,31,31,31,31,31,31,252,0,252,0,4,0
Milotic,Surf,Ice Beam,Aqua Ring,Haze,Leftovers,Bold,Cute Charm,31,0,31,31,31,31,252,0,252,0,4,0
