Idol Kyla,Kyla,6,7
6
Team 1
Rapidash,Sunny Day,Fire Blast,Solar Beam,Rest,Chesto Berry,Modest,Flame Body,31,0,20,31,20,31,60,0,0,204,0,204
Hariyama,Sand Attack,Focus Punch,Rock Tomb,Fake Out,Bright Powder,Adamant,Thick Fat,31,31,15,15,15,31,148,148,4,4,4,148
Manectric,Spark,Ice Fang,Bite,Howl,Magnet,Jolly,Lightning Rod,31,31,15,15,15,31,148,148,4,4,4,148
Team 2
Armaldo,Stone Edge,Slash,X-scissor,Iron Tail,Wide Lens,Careful,Battle Armor,31,31,31,31,31,31,204,60,0,0,204,0
Gardevoir,Psychic,Shadow Ball,Thunder Wave,Confuse Ray,Lum Berry,Timid,Synchronize,31,0,20,31,20,31,60,0,0,204,0,204
Bronzong,Trick Room,Gyro Ball,Flash Cannon,Hypnosis,Twisted Spoon,Quiet,Levitate,31,31,20,31,20,0,204,0,60,204,0,0
7
Team 3
Magnezone,Thunderbolt,Flash Cannon,Tri Attack,Volt Switch,Quick Claw,Modest,Sturdy,31,0,25,31,25,31,44,0,0,220,0,220
Torterra,Leaf Storm,Worry Seed,Earthquake,Bite,White Herb,Quiet,Overgrow,31,31,25,31,25,0,220,44,0,220,0,0
Gyarados,Dragon Dance,Waterfall,Earthquake,Ice Fang,Lum Berry,Adamant,Intimidate,31,31,25,0,25,31,44,220,0,0,0,220
