Picnicker Kyra,Kyra,6,7
6
Team 1
Torterra,Sunny Day,Synthesis,Solar Beam,Stone Edge,Heat Rock,Serious,Overgrow,31,31,15,31,15,15,148,148,4,148,4,4
Alakazam,Psyshock,Psychic,Focus Blast,Energy Ball,Life Orb,Modest,Magic Guard,31,0,20,31,20,31,60,0,0,204,0,204
Miltank,Defense Curl,Rollout,Milk Drink,Seismic Toss,Muscle Band,Impish,Thick Fat,31,31,31,0,20,20,204,204,60,0,0,0
Team 2
Torterra,Sunny Day,Synthesis,Solar Beam,Stone Edge,Heat Rock,Serious,Overgrow,31,31,15,31,15,15,148,148,4,148,4,4
Drifblim,Hypnosis,Dream Eater,Rest,Charge Beam,Lum Berry,Modest,Unburden,31,0,20,31,20,31,60,0,0,204,0,204
Claydol,Rock Polish,Earthquake,Rock Slide,Psychic,Hard Stone,Hardy,Levitate,31,31,20,31,20,20,204,204,0,60,0,0
7
Team 3
Typhlosion,Eruption,Earthquake,Endure,Reversal,Salac Berry,Docile,Blaze,0,31,25,31,25,31,0,44,0,220,0,220
Rhyperior,Rock Wrecker,Ice Beam,Thunderbolt,Flamethrower,Expert Belt,Quiet,Solid Rock,31,0,31,31,0,0,44,0,0,220,220,0
Electivire,Thunder Punch,Cross Chop,Thunder Wave,Screech,Cheri Berry,Impish,Motor Drive,31,31,31,0,25,25,220,44,220,0,0,0
