Pokémon Breeder♀ Larissa,Larissa,4,5
4
Team 1
Magneton,Shock Wave,Volt Switch,Thunder Wave,Flash Cannon,Choice Specs,Modest,Sturdy,31,10,10,31,10,31,148,0,0,148,0,148
Wigglytuff,Sing,Disable,Wish,Dazzling Gleam,Silk Scarf,Relaxed,Competitive,31,0,31,0,31,0,108,0,108,0,108,0
Ivysaur,Petal Dance,Growth,Sweet Scent,Take Down,Persim Berry,Gentle,Overgrow,31,0,31,0,31,0,108,0,108,0,108,0
Team 2
Cherrim,Petal Dance,Weather Ball,Leech Seed,Sunny Day,Miracle Seed,Hardy,Flower Gift,31,31,0,31,0,0,108,108,0,108,0,0
Noctowl,Air Slash,Aerial Ace,Psychic,Reflect,Persim Berry,Relaxed,Keen Eye,31,0,31,31,0,0,148,0,148,148,0,0
Omastar,Bubble Beam,Rock Blast,Tickle,Ancient Power,Shell Bell,Quirky,Swift Swim,31,31,10,31,10,10,148,148,0,148,0,0
Team 3
Dusclops,Will-o-wisp,Night Shade,Pain Split,Confuse Ray,Leftovers,Impish,Pressure,31,31,31,31,31,31,148,0,148,0,148,0
Kingler,Crabhammer,Metal Claw,Knock Off,Protect,Scope Lens,Adamant,Hyper Cutter,31,31,10,10,10,31,148,148,0,0,0,148
Rotom,Thunderbolt,Shadow Ball,Thunder Wave,Confuse Ray,Cheri Berry,Modest,Levitate,31,0,0,31,0,31,148,0,0,148,0,148
5
Team 4
Froslass,Blizzard,Shadow Ball,Thunderbolt,Will-o-wisp,Focus Band,Timid,Cursed Body,31,31,31,31,31,31,148,4,4,148,4,148
Manectric,Spark,Ice Fang,Bite,Howl,Magnet,Jolly,Lightning Rod,31,31,15,15,15,31,148,148,4,4,4,148
Charizard,Flamethrower,Sunny Day,Focus Blast,Ancient Power,Charti Berry,Modest,Blaze,31,15,15,31,15,31,148,0,0,148,0,148
