Camper Leland,Leland,6,7
6
Team 1
Weavile,Night Slash,Ice Punch,Ice Shard,Shadow Claw,Razor Claw,Jolly,Pressure,31,31,20,0,20,31,60,204,0,0,0,204
Machamp,Counter,Dynamic Punch,Payback,Earthquake,Focus Sash,Adamant,No Guard,31,31,20,0,20,31,60,204,0,0,0,204
Porygon2,Magnet Rise,Conversion,Recover,Charge Beam,Leftovers,Calm,Analytic,31,0,20,31,31,20,204,0,0,60,204,0
Team 2
Golem,Endure,Earthquake,Flail,Rock Tomb,Liechi Berry,Jolly,Sturdy,31,31,15,15,15,31,148,148,4,4,4,148
Exeggutor,Giga Drain,Leech Seed,Double Team,Substitute,Leftovers,Calm,Chlorophyll,31,0,20,31,31,20,204,0,0,60,204,0
Muk,Poison Jab,Minimize,Acid Armor,Brick Break,Black Sludge,Impish,Poison Touch,31,31,31,0,20,20,204,60,204,0,0,0
7
Team 3
Garchomp,Outrage,Swords Dance,Stone Edge,Earthquake,Persim Berry,Jolly,Rough Skin,31,31,25,0,25,31,36,220,0,0,0,252
Lickilicky,Belly Drum,Rest,Explosion,Earthquake,Chesto Berry,Careful,Own Tempo,31,31,20,0,31,20,204,60,0,0,204,0
Scizor,Bullet Punch,Quick Attack,U-turn,Thief,Choice Band,Adamant,Technician,31,31,31,0,20,20,204,204,60,0,0,0
