Veteran Leslie,Leslie,4,5
4
Team 1
Hitmonchan,Mach Punch,Ice Punch,Detect,Counter,King's Rock,Adamant,Iron Fist,31,31,0,0,0,31,148,148,0,0,0,148
Mightyena,Bite,Poison Fang,Taunt,Roar,Mental Herb,Jolly,Intimidate,31,31,0,0,0,31,108,108,0,0,0,108
Croconaw,Slash,Water Pulse,Bite,Scary Face,Scope Lens,Docile,Torrent,31,31,31,0,0,0,108,108,108,0,0,0
Team 2
Bellossom,Solar Beam,Safeguard,Sunny Day,Synthesis,Power Herb,Modest,Chlorophyll,31,10,10,31,10,31,148,0,0,148,0,148
Crawdaunt,Superpower,Rock Slide,Knock Off,Aqua Jet,Choice Band,Adamant,Adaptability,31,31,10,10,10,31,148,148,0,0,0,148
Ninjask,Baton Pass,Swords Dance,Endure,Dig,Petaya Berry,Mild,Speed Boost,31,31,10,10,10,31,148,148,0,0,0,148
Team 3
Camerupt,Eruption,Protect,Sandstorm,Rock Slide,Sitrus Berry,Quirky,Solid Rock,31,10,10,31,10,31,148,0,0,148,0,148
Dodrio,Drill Peck,Tri Attack,Sleep Talk,Rest,Chesto Berry,Adamant,Early Bird,31,31,10,10,10,31,148,148,0,0,0,148
Octillery,Octazooka,Ice Beam,Psychic,Protect,Leftovers,Modest,Moody,31,10,10,31,10,31,148,0,0,148,0,148
5
Team 4
Venusaur,Skull Bash,Worry Seed,Earthquake,Petal Dance,Power Herb,Brave,Overgrow,31,31,15,15,15,31,148,148,0,0,0,148
Ambipom,Double Team,Baton Pass,Agility,Double Hit,Bright Powder,Impish,Technician,31,31,31,15,15,15,148,148,148,4,4,4
Quagsire,Body Slam,Rock Slide,Ice Beam,Brick Break,Leftovers,Brave,Water Absorb,31,31,31,15,15,15,148,148,148,4,4,4
