Idol Liliana,Liliana,3,4
3
Team 1
Grotle,Mega Drain,Bite,Leech Seed,Synthesis,Big Root,Hardy,Overgrow,31,0,0,31,0,31,108,0,0,108,0,108
Nosepass,Rock Slide,Shock Wave,Thunder Wave,Sandstorm,Hard Stone,Sassy,Sturdy,0,31,0,31,0,0,0,108,0,108,0,0
Beedrill,Poison Jab,Fell Stinger,Endeavor,Agility,Focus Sash,Jolly,Swarm,0,31,0,0,0,31,0,108,0,0,0,108
Team 2
Omanyte,Mud Shot,Water Gun,Ancient Power,Tickle,Sitrus Berry,Quirky,Shell Armor,31,31,0,0,0,0,108,108,0,0,0,0
Sneasel,Ice Shard,Fake Out,Ice Punch,Throat Chop,Focus Sash,Adamant,Pickpocket,31,31,0,0,0,31,108,108,0,0,0,108
Kecleon,Brick Break,Psybeam,Magic Coat,Shadow Sneak,Focus Band,Naive,Color Change,31,0,31,0,0,31,108,0,108,0,0,108
4
Team 3
Purugly,Slash,U-turn,Attract,Fake Out,Silk Scarf,Adamant,Thick Fat,31,31,0,0,31,0,148,148,0,0,148,0
Grumpig,Psybeam,Confuse Ray,Future Sight,Magic Coat,Petaya Berry,Relaxed,Thick Fat,31,10,31,10,31,10,148,0,148,0,148,0
Crawdaunt,Superpower,Rock Slide,Knock Off,Aqua Jet,Choice Band,Adamant,Adaptability,31,31,10,10,10,31,148,148,0,0,0,148
Team 4
Pidgeot,U-turn,Feather Dance,Brave Bird,Quick Attack,Sharp Beak,Jolly,Big Pecks,31,31,10,10,10,31,148,148,0,0,0,148
Chansey,Substitute,Seismic Toss,Soft-boiled,Minimize,Sitrus Berry,Relaxed,Serene Grace,31,31,31,31,31,31,148,0,148,0,148,0
Electabuzz,Thunderbolt,Thunder Wave,Brick Break,Light Screen,Cheri Berry,Relaxed,Static,31,31,10,31,10,10,148,148,0,148,0,0
