Ace Trainer♂ Lionel,Lionel,7,M
7
Team 1
Mamoswine,Hail,Blizzard,Mud Shot,Ancient Power,Icy Rock,Modest,Snow Cloak,31,0,25,31,25,31,44,0,0,220,0,220
Dragonite,Outrage,Aqua Tail,Iron Tail,Stone Edge,Wide Lens,Adamant,Multiscale,31,31,25,0,25,31,36,252,0,0,0,220
Rhyperior,Rock Wrecker,Ice Beam,Thunderbolt,Flamethrower,Expert Belt,Quiet,Solid Rock,31,0,31,31,0,0,44,0,0,220,220,0
Team 2
Gliscor,Earthquake,Guillotine,Fire Fang,Acrobatics,Sitrus Berry,Impish,Hyper Cutter,31,31,31,0,20,20,204,60,204,0,0,0
Kingdra,Waterfall,Focus Energy,Dragon Dance,Yawn,Razor Claw,Jolly,Sniper,31,31,25,0,25,31,44,220,0,0,0,220
Venusaur,Leech Seed,Ingrain,Giga Drain,Sleep Powder,Big Root,Bold,Overgrow,31,0,31,31,25,25,220,0,220,44,0,0
M
Team 3
Tyranitar,Stealth Rock,Thunder Wave,Rock Tomb,Crunch,Chople Berry,Impish,Sand Stream,31,31,31,31,31,31,252,4,252,0,0,0
Garchomp,Earthquake,Outrage,Aerial Ace,Swords Dance,Bright Powder,Jolly,Sand Veil,31,31,31,0,31,31,4,252,0,0,0,252
Gastrodon,Stone Edge,Surf,Ice Beam,Earth Power,Leftovers,Quiet,Sand Force,31,31,31,31,31,0,252,4,0,252,0,0
Team 4
Tyranitar,Stealth Rock,Thunder Wave,Rock Tomb,Crunch,Chople Berry,Impish,Sand Stream,31,31,31,31,31,31,252,4,252,0,0,0
Dugtrio,Earthquake,Fissure,Reversal,Sucker Punch,Bright Powder,Adamant,Sand Veil,31,31,31,0,31,31,4,252,0,0,0,252
Cradily,Giga Drain,Leech Seed,Sludge Bomb,Stockpile,Leftovers,Calm,Storm Drain,31,0,31,31,31,31,252,0,4,0,252,0
