Youngster Lloyd,Lloyd,1,2
1
Team 1
Mudkip,Water Pulse,Endeavor,Rock Slide,Dig,Rindo Berry,Docile,Torrent,0,31,0,31,0,0,0,108,0,108,0,0
Combee,Sweet Scent,Gust,-,-,Quick Claw,Modest,Honey Gather,0,0,0,31,0,31,0,0,0,108,0,108
Staravia,Endeavor,Aerial Ace,Whirlwind,Quick Attack,Charti Berry,Adamant,Intimidate,0,31,0,0,0,31,0,108,0,0,0,108
Team 2
Larvitar,Thrash,Rock Slide,Dig,Bite,Persim Berry,Jolly,Guts,0,31,0,0,0,31,0,108,0,0,0,108
Smoochum,Sweet Kiss,Sing,Confusion,Ice Beam,Bright Powder,Docile,Oblivious,31,0,0,31,0,0,108,0,0,108,0,0
Shieldon,Take Down,Protect,Iron Defense,Metal Sound,Focus Sash,Sassy,Sturdy,31,0,31,0,0,0,108,0,108,0,0,0
Team 3
Happiny,Sweet Kiss,Psychic,Flamethrower,Shadow Ball,Lucky Punch,Modest,Serene Grace,0,0,31,31,0,0,0,0,108,108,0,0
Charmander,Dragon Breath,Inferno,Fire Spin,Scary Face,Scope Lens,Modest,Blaze,31,0,0,31,0,0,108,0,0,108,0,0
Clefairy,Moonblast,Metronome,Encore,Sing,Lax Incense,Modest,Magic Guard,31,0,0,31,0,0,108,0,0,108,0,0
2
Team 4
Azumarill,Waterfall,Facade,Play Rough,Aqua Jet,Sitrus Berry,Adamant,Huge Power,31,31,0,0,0,0,108,108,0,0,0,0
Ponyta,Flame Charge,Iron Tail,Take Down,Tail Whip,Passho Berry,Adamant,Flame Body,0,31,0,0,0,31,0,108,0,0,0,108
Sableye,Will-o-wisp,Confuse Ray,Night Shade,Fake Out,Black Glasses,Lonely,Prankster,31,31,31,31,31,31,108,0,0,0,0,108
