Parasol Lady Madelyn,Madelyn,M
M
Team 1
Latios,Psychic,Dragon Pulse,Ice Beam,Shadow Ball,Expert Belt,Timid,Levitate,31,31,31,31,31,31,4,0,0,252,0,252
Granbull,Ice Fang,Stone Edge,Crunch,Earthquake,Quick Claw,Adamant,Intimidate,31,31,31,0,31,31,4,252,0,0,0,252
Sceptile,Leaf Storm,Aerial Ace,Leaf Blade,Focus Blast,Occa Berry,Serious,Overgrow,31,31,31,31,31,31,0,4,0,252,0,252
Team 2
Vileplume,Toxic,Grass Knot,Double Team,Attract,Black Sludge,Bold,Chlorophyll,31,0,31,31,31,31,252,0,252,0,4,0
Vespiquen,Bug Buzz,Sludge Bomb,Power Gem,Roost,Wise Glasses,Modest,Pressure,31,0,31,31,31,31,252,0,4,252,0,0
Electrode,Thunderbolt,Volt Switch,Swift,Thunder Wave,Jaboca Berry,Modest,Aftermath,31,31,31,31,31,31,4,0,0,252,0,252
Team 3
Jolteon,Volt Switch,Thunderbolt,Shadow Ball,Baton Pass,Choice Specs,Timid,Volt Absorb,31,31,31,31,31,31,4,0,0,252,0,252
Snorlax,Body Slam,Curse,Heavy Slam,Yawn,Figy Berry,Adamant,Gluttony,31,31,31,31,31,31,4,252,252,0,0,0
Gliscor,Earthquake,Guillotine,Substitute,Protect,Toxic Orb,Jolly,Poison Heal,31,31,31,31,31,31,252,0,100,0,0,156
Team 4
Togekiss,Thunder Wave,Double Team,Substitute,Air Slash,Leftovers,Bold,Serene Grace,31,0,31,31,31,31,252,0,252,0,0,4
Snorlax,Body Slam,Curse,Heavy Slam,Yawn,Figy Berry,Adamant,Gluttony,31,31,31,31,31,31,4,252,252,0,0,0
Arcanine,Flare Blitz,Wild Charge,Play Rough,Close Combat,Choice Band,Jolly,Intimidate,31,31,31,31,31,31,4,252,0,0,0,252
