Poké Fan♀ Marie,Marie,2,3
2
Team 1
Cyndaquil,Flame Wheel,Swift,Quick Attack,Smokescreen,Focus Sash,Docile,Blaze,0,31,0,31,0,0,0,108,0,108,0,0
Luxio,Spark,Bite,Roar,Swagger,Magnet,Adamant,Intimidate,0,31,0,0,0,31,0,108,0,0,0,108
Roselia,Magical Leaf,Toxic,Sludge Bomb,Cotton Spore,Black Sludge,Modest,Poison Point,0,0,0,31,0,31,0,0,0,108,0,108
Team 2
Gloom,Petal Dance,Acid,Stun Spore,Moonlight,Persim Berry,Modest,Chlorophyll,31,0,0,31,0,0,108,0,0,108,0,0
Corsola,Bubble Beam,Mirror Coat,Attract,Ancient Power,Focus Sash,Impish,Natural Cure,31,0,0,31,0,0,108,0,0,108,0,0
Yanma,Bug Buzz,Air Slash,Double Team,Detect,Lax Incense,Modest,Speed Boost,0,0,0,31,0,31,0,0,0,108,0,108
3
Team 3
Nidorino,Double Kick,Water Pulse,Toxic Spikes,Flatter,Focus Band,Quirky,Poison Point,0,31,0,31,0,0,0,108,0,108,0,0
Mightyena,Bite,Poison Fang,Taunt,Roar,Mental Herb,Jolly,Intimidate,31,31,0,0,0,31,108,108,0,0,0,108
Dunsparce,Headbutt,Glare,Defense Curl,Rollout,Lax Incense,Docile,Serene Grace,31,31,31,0,0,0,108,108,108,0,0,0
