Lady Marina,Marina,1,2
1
Team 1
Totodile,Slash,Water Pulse,Screech,Scary Face,Scope Lens,Bashful,Torrent,0,31,0,31,0,0,0,108,0,108,0,0
Gible,Dragon Claw,Dig,Sand Tomb,Sand Attack,Soft Sand,Brave,Rough Skin,31,31,0,0,0,0,108,108,0,0,0,0
Buneary,Bounce,Quick Attack,Charm,Splash,Black Belt,Adamant,Limber,0,31,0,0,0,31,0,108,0,0,0,108
Team 2
Gible,Dragon Claw,Dig,Sand Tomb,Sand Attack,Soft Sand,Brave,Rough Skin,31,31,0,0,0,0,108,108,0,0,0,0
Bronzor,Confusion,Hypnosis,Confuse Ray,Gyro Ball,Sitrus Berry,Hardy,Levitate,0,31,0,31,0,0,0,108,0,108,0,0
Exeggcute,Confusion,Giga Drain,Leech Seed,Light Screen,Persim Berry,Modest,Chlorophyll,31,0,0,31,0,0,108,0,0,108,0,0
Team 3
Bulbasaur,Razor Leaf,Take Down,Sleep Powder,Leech Seed,Bright Powder,Adamant,Overgrow,31,31,0,0,0,0,108,108,0,0,0,0
Venonat,Psybeam,Supersonic,Stun Spore,Skill Swap,Sitrus Berry,Relaxed,Compoundeyes,31,31,31,31,31,31,108,0,108,0,0,0
Staravia,Endeavor,Aerial Ace,Whirlwind,Quick Attack,Charti Berry,Adamant,Intimidate,0,31,0,0,0,31,0,108,0,0,0,108
2
Team 4
Dustox,Bug Buzz,Toxic,Psybeam,Whirlwind,Silver Powder,Modest,Shield Dust,31,0,0,31,0,0,108,0,0,108,0,0
Volbeat,Bug Buzz,Confuse Ray,Quick Attack,Helping Hand,Liechi Berry,Quirky,Swarm,31,0,0,31,0,0,108,0,0,108,0,0
Machoke,Low Kick,Rock Tomb,Facade,Scary Face,Focus Band,Adamant,Guts,0,31,0,0,0,31,0,108,0,0,0,108
