Parasol Lady Mia,Mia,2,3
2
Team 1
Illumise,Bug Buzz,Wish,Quick Attack,Helping Hand,Liechi Berry,Quirky,Tinted Lens,31,0,0,31,0,0,108,0,0,108,0,0
Pachirisu,Discharge,Sweet Kiss,Quick Attack,Nuzzle,Shuca Berry,Modest,Volt Absorb,31,0,0,0,0,31,108,0,0,0,0,108
Nidorino,Double Kick,Water Pulse,Toxic Spikes,Flatter,Focus Band,Quirky,Poison Point,0,31,0,31,0,0,0,108,0,108,0,0
Team 2
Beedrill,Poison Jab,Fell Stinger,Endeavor,Agility,Focus Sash,Jolly,Swarm,0,31,0,0,0,31,0,108,0,0,0,108
Ponyta,Flame Charge,Iron Tail,Take Down,Tail Whip,Passho Berry,Adamant,Flame Body,0,31,0,0,0,31,0,108,0,0,0,108
Weepinbell,Razor Leaf,Acid,Wrap,Sweet Scent,Aguav Berry,Quiet,Gluttony,31,0,0,31,0,0,108,0,0,108,0,0
3
Team 3
Misdreavus,Pain Split,Shadow Ball,Confuse Ray,Thunder Wave,Focus Band,Impish,Levitate,31,0,31,0,31,0,108,0,108,0,108,0
Chatot,Chatter,Torment,Sing,U-turn,Yache Berry,Bashful,Big Pecks,31,0,0,31,0,31,108,0,0,108,0,108
Sunflora,Petal Dance,Ingrain,Leech Seed,Light Screen,Persim Berry,Quirky,Solar Power,31,31,0,0,0,31,108,108,0,0,0,108
