Veteran Mikel,Mikel,7,M
7
Team 1
Blissey,Ice Beam,Thunderbolt,Flamethrower,Soft-boiled,Leftovers,Bold,Serene Grace,31,31,31,31,31,31,0,0,220,0,44,220
Gallade,Psycho Cut,Poison Jab,Thunder Wave,Confuse Ray,King's Rock,Jolly,Justified,31,31,20,0,20,31,60,204,0,0,0,204
Gengar,Shadow Ball,Psychic,Energy Ball,Focus Blast,Focus Sash,Timid,Cursed Body,31,0,20,31,20,31,60,0,0,204,0,204
M
Team 2
Armaldo,Stone Edge,Slash,X-scissor,Iron Tail,Wide Lens,Careful,Battle Armor,31,31,31,31,31,31,204,60,0,0,204,0
Glaceon,Mirror Coat,Tail Whip,Sand Attack,Last Resort,Leftovers,Modest,Ice Body,31,0,25,31,25,31,220,0,0,220,0,44
Lucario,Dark Pulse,Dragon Pulse,Aura Sphere,Nasty Plot,Bright Powder,Modest,Inner Focus,31,0,25,31,25,31,44,0,0,220,0,220
Team 3
Gastrodon,Earth Power,Scald,Ice Beam,Yawn,Bright Powder,Calm,Storm Drain,31,0,31,31,31,31,252,0,0,4,252,0
Empoleon,Waterfall,Aqua Jet,Avalanche,Earthquake,Chople Berry,Adamant,Defiant,31,31,31,0,31,31,252,252,0,0,0,4
Probopass,Rock Polish,Earthquake,Stone Edge,Explosion,King's Rock,Adamant,Sturdy,31,31,31,0,31,31,252,252,4,0,0,0
