Rich Boy Milton,Milton,1,2
1
Team 1
Totodile,Slash,Water Pulse,Screech,Scary Face,Scope Lens,Bashful,Torrent,0,31,0,31,0,0,0,108,0,108,0,0
Kricketot,Struggle Bug,Bug Bite,Growl,Pound,Sticky Barb,Impish,Shed Skin,31,0,31,0,0,0,108,0,108,0,0,0
Phanpy,Rollout,Defense Curl,Rock Tomb,Sandstorm,Lax Incense,Adamant,Pickup,0,31,0,0,0,31,0,108,0,0,0,108
Team 2
Chimecho,Extrasensory,Yawn,Uproar,Shadow Ball,Grip Claw,Timid,Levitate,0,0,0,31,0,31,0,0,0,108,0,108
Corphish,Crabhammer,Water Pulse,Knock Off,Protect,Mystic Water,Brave,Adaptability,31,31,0,0,0,0,108,108,0,0,0,0
Farfetch'd,Slash,Knock Off,Swords Dance,Agility,Leek,Adamant,Defiant,0,31,0,0,0,31,0,108,0,0,0,108
Team 3
Snubbull,Bite,Charm,Swagger,Scary Face,Scope Lens,Brave,Intimidate,31,31,0,0,0,0,108,108,0,0,0,0
Cyndaquil,Flame Charge,Lava Plume,Aerial Ace,Rollout,Sitrus Berry,Docile,Blaze,0,31,0,31,0,0,0,108,0,108,0,0
Tentacool,Bubble Beam,Acid,Sludge Bomb,Wrap,Pecha Berry,Modest,Liquid Ooze,0,0,0,31,0,31,0,0,0,108,0,108
2
Team 4
Luxio,Spark,Bite,Roar,Swagger,Magnet,Adamant,Intimidate,0,31,0,0,0,31,0,108,0,0,0,108
Graveler,Rollout,Rock Throw,Defense Curl,Brick Break,Focus Band,Adamant,Sturdy,0,31,0,0,0,31,0,108,0,0,0,108
Porygon,Psybeam,Tri Attack,Recycle,Agility,Sitrus Berry,Relaxed,Download,31,0,31,0,0,0,108,0,108,0,0,0
