Ace Trainer♂ Myron,Myron,5,M
5
Team 1
Ludicolo,Waterfall,Razor Leaf,Drain Punch,Swords Dance,Muscle Band,Adamant,Own Tempo,31,31,15,15,15,31,148,148,4,4,4,148
Golbat,Poison Fang,Confuse Ray,Wing Attack,Steel Wing,Scope Lens,Jolly,Inner Focus,31,31,0,0,0,31,148,148,0,0,0,148
Venomoth,Bug Buzz,Psybeam,Sleep Powder,Skill Swap,Persim Berry,Quirky,Shield Dust,31,0,0,31,0,31,148,0,0,148,0,148
M
Team 2
Mamoswine,Earthquake,Icicle Spear,Ice Shard,Rock Tomb,Focus Sash,Jolly,Thick Fat,31,31,31,31,31,31,0,252,4,0,0,252
Dragonite,Outrage,Earthquake,Fire Punch,Dragon Dance,Lum Berry,Jolly,Multiscale,31,31,31,0,31,31,4,252,0,0,0,252
Togekiss,Air Slash,Dazzling Gleam,Grass Knot,Fire Blast,Choice Scarf,Modest,Serene Grace,31,0,31,31,31,31,4,0,0,252,0,252
Team 3
Dragonite,Outrage,Earthquake,Fire Punch,Dragon Dance,Lum Berry,Jolly,Multiscale,31,31,31,0,31,31,4,252,0,0,0,252
Mamoswine,Earthquake,Icicle Spear,Ice Shard,Rock Tomb,Focus Sash,Jolly,Thick Fat,31,31,31,31,31,31,0,252,4,0,0,252
Togekiss,Air Slash,Dazzling Gleam,Grass Knot,Fire Blast,Choice Scarf,Modest,Serene Grace,31,0,31,31,31,31,4,0,0,252,0,252
