Aroma Lady Nadia,Nadia,M
M
Team 1
Milotic,Surf,Ice Beam,Aqua Ring,Haze,Leftovers,Bold,Cute Charm,31,0,31,31,31,31,252,0,252,0,4,0
Lanturn,Charge,Charge Beam,Hydro Pump,Ice Beam,Quick Claw,Modest,Volt Absorb,31,0,31,31,31,31,252,0,4,0,0,252
Regice,Focus Blast,Blizzard,Giga Impact,Rock Polish,Ganlon Berry,Serious,Clear Body,31,31,31,31,31,31,252,4,0,252,0,0
Team 2
Lanturn,Thunderbolt,Charge,Scald,Surf,Expert Belt,Calm,Volt Absorb,31,0,31,31,31,31,252,0,0,4,252,0
Absol,Swagger,Night Slash,Sucker Punch,Taunt,Focus Sash,Adamant,Pressure,31,31,31,0,31,31,4,252,0,0,0,252
Gengar,Explosion,Thunder Punch,Poison Jab,Shadow Claw,Payapa Berry,Adamant,Cursed Body,31,31,31,0,31,31,4,252,0,0,0,252
Team 3
Regigigas,Crush Grip,Drain Punch,Knock Off,Protect,Leftovers,Impish,Slow Start,31,31,31,31,31,31,4,252,252,0,0,0
Porygon-Z,Tri Attack,Thunderbolt,Ice Beam,Shadow Ball,Silk Scarf,Timid,Adaptability,31,31,31,31,31,31,4,0,0,252,0,252
Salamence,Outrage,Thrash,Crunch,Earthquake,Choice Scarf,Jolly,Moxie,31,31,31,31,31,31,4,252,0,0,0,252
Team 4
Espeon,Reflect,Shadow Ball,Psychic,Morning Sun,Bright Powder,Timid,Magic Bounce,31,0,31,31,31,31,4,0,0,252,0,252
Regigigas,Crush Grip,Drain Punch,Knock Off,Protect,Leftovers,Impish,Slow Start,31,31,31,31,31,31,4,252,252,0,0,0
Salamence,Dragon Dance,Earthquake,Outrage,Crunch,Yache Berry,Adamant,Intimidate,31,31,31,0,31,31,4,252,0,0,0,252
