Ace Trainer♀ Natalia,Natalia,5,6,M
5
Team 1
Hypno,Thunder Punch,Zen Headbutt,Headbutt,Drain Punch,Leftovers,Relaxed,Insomnia,31,15,31,31,15,15,148,4,148,148,4,4
Torterra,Sunny Day,Synthesis,Solar Beam,Stone Edge,Heat Rock,Serious,Overgrow,31,31,15,31,15,15,148,148,4,148,4,4
Dugtrio,Shadow Claw,Earthquake,Rock Slide,Thief,Focus Sash,Jolly,Arena Trap,31,31,15,15,15,31,148,148,4,4,4,148
Team 2
Venusaur,Skull Bash,Worry Seed,Earthquake,Petal Dance,Power Herb,Brave,Overgrow,31,31,15,15,15,31,148,148,0,0,0,148
Electrode,Explosion,Spark,Thunder Wave,Thief,Sitrus Berry,Hasty,Aftermath,31,31,15,15,15,31,148,148,4,4,4,148
Hypno,Thunder Punch,Zen Headbutt,Headbutt,Drain Punch,Leftovers,Relaxed,Insomnia,31,15,31,31,15,15,148,4,148,148,4,4
6
Team 3
Houndoom,Counter,Flame Charge,Crunch,Thunder Fang,Focus Sash,Jolly,Flash Fire,31,31,20,0,20,31,60,204,0,0,0,204
Raichu,Thunderbolt,Quick Attack,Slam,Iron Tail,Wide Lens,Docile,Lightning Rod,31,15,15,31,15,31,148,4,4,148,4,148
Torterra,Sunny Day,Synthesis,Solar Beam,Stone Edge,Heat Rock,Serious,Overgrow,31,31,15,31,15,15,148,148,4,148,4,4
M
Team 4
Pelipper,Hydro Pump,Ice Beam,Hurricane,U-turn,Choice Scarf,Timid,Drizzle,31,0,31,31,31,31,4,0,0,252,0,252
Kingdra,Hydro Pump,Dragon Pulse,Hurricane,Ice Beam,Life Orb,Modest,Swift Swim,31,0,31,31,31,31,4,0,0,252,0,252
Scizor,Bullet Punch,Thief,Roost,Swords Dance,Sitrus Berry,Adamant,Technician,31,31,31,0,31,31,236,124,148,0,0,0
Team 5
Pelipper,Hydro Pump,Ice Beam,Hurricane,U-turn,Damp Rock,Bold,Drizzle,31,0,31,31,31,31,252,0,252,4,0,0
Relicanth,Waterfall,Head Smash,Earthquake,Body Press,Figy Berry,Adamant,Swift Swim,31,31,31,0,31,31,4,252,0,0,0,252
Zapdos,Thunder,Hurricane,Heat Wave,Volt Switch,Life Orb,Modest,Static,31,0,31,31,31,31,4,0,0,252,0,252
