Camper Nestor,Nestor,1,2
1
Team 1
Croagunk,Poison Jab,Mud-slap,Taunt,Swagger,Black Sludge,Adamant,Poison Touch,31,31,31,31,31,31,108,108,0,0,0,0
Chikorita,Magical Leaf,Reflect,Synthesis,Poison Powder,Leftovers,Bold,Overgrow,31,0,31,0,0,0,108,0,108,0,0,0
Luvdisc,Sweet Kiss,Attract,Water Pulse,Rain Dance,Quick Claw,Relaxed,Swift Swim,31,0,31,0,0,0,108,0,108,0,0,0
Team 2
Venonat,Psybeam,Supersonic,Stun Spore,Skill Swap,Sitrus Berry,Relaxed,Compoundeyes,31,31,31,31,31,31,108,0,108,0,0,0
Smoochum,Sweet Kiss,Sing,Confusion,Ice Beam,Bright Powder,Docile,Oblivious,31,0,0,31,0,0,108,0,0,108,0,0
Phanpy,Rollout,Defense Curl,Rock Tomb,Sandstorm,Lax Incense,Adamant,Pickup,0,31,0,0,0,31,0,108,0,0,0,108
2
Team 3
Larvitar,Thrash,Rock Slide,Dig,Bite,Persim Berry,Jolly,Guts,0,31,0,0,0,31,0,108,0,0,0,108
Illumise,Bug Buzz,Wish,Quick Attack,Helping Hand,Liechi Berry,Quirky,Tinted Lens,31,0,0,31,0,0,108,0,0,108,0,0
Lileep,Giga Drain,Acid,Ingrain,Confuse Ray,Lax Incense,Docile,Storm Drain,31,0,0,31,0,0,108,0,0,108,0,0
