Picnicker Nichole,Nichole,1,2
1
Team 1
Budew,Giga Drain,Stun Spore,Worry Seed,Growth,Big Root,Timid,Poison Point,0,0,0,31,0,31,0,0,0,108,0,108
Bidoof,Defense Curl,Headbutt,Rollout,Yawn,Metronome,Adamant,Simple,31,31,0,0,0,0,108,108,0,0,0,0
Growlithe,Flame Wheel,Bite,Roar,Agility,Shuca Berry,Adamant,Intimidate,0,31,0,0,0,31,0,108,0,0,0,108
Team 2
Cherubi,Magical Leaf,Leech Seed,Sunny Day,Take Down,Occa Berry,Modest,Chlorophyll,0,0,0,31,0,31,0,0,0,108,0,108
Snubbull,Bite,Charm,Swagger,Scary Face,Scope Lens,Brave,Intimidate,31,31,0,0,0,0,108,108,0,0,0,0
Spoink,Psychic,Bounce,Magic Coat,Confuse Ray,Sitrus Berry,Relaxed,Thick Fat,31,0,31,0,0,0,108,0,108,0,0,0
Team 3
Cherubi,Magical Leaf,Leech Seed,Sunny Day,Take Down,Occa Berry,Modest,Chlorophyll,0,0,0,31,0,31,0,0,0,108,0,108
Doduo,Fury Attack,Uproar,Quick Attack,Rest,Liechi Berry,Lonely,Early Bird,0,31,0,0,0,31,0,108,0,0,0,108
Slowpoke,Confusion,Disable,Water Pulse,Yawn,Sitrus Berry,Modest,Oblivious,31,0,0,31,0,0,108,0,0,108,0,0
2
Team 4
Poliwhirl,Water Pulse,Earth Power,Hypnosis,Rain Dance,Petaya Berry,Quirky,Water Absorb,31,0,0,31,0,0,108,0,0,108,0,0
Magby,Fire Punch,Smokescreen,Confuse Ray,Smog,Lax Incense,Adamant,Flame Body,31,31,0,0,0,0,108,108,0,0,0,0
Anorith,Metal Claw,Fury Cutter,Ancient Power,Water Gun,Scope Lens,Adamant,Battle Armor,0,31,0,0,0,31,0,108,0,0,0,108
