Beauty Noelle,Noelle,M
M
Team 1
Latios,Draco Meteor,Psychic,Thunder,Hyper Beam,White Herb,Modest,Levitate,31,31,31,31,31,31,4,0,0,252,0,252
Slowbro,Yawn,Zen Headbutt,Earthquake,Brick Break,Lum Berry,Adamant,Regenerator,31,31,31,0,31,31,252,252,4,0,0,0
Rhydon,Rock Blast,Fire Fang,Earthquake,Avalanche,Smooth Rock,Brave,Lightning Rod,31,31,31,0,31,0,252,252,4,0,0,0
Team 2
Latias,Calm Mind,Recover,Stored Power,Mystical Fire,Leftovers,Timid,Levitate,31,31,31,31,31,31,252,0,0,4,0,252
Ninetales,Flamethrower,Solar Beam,Psyshock,Shadow Ball,Choice Specs,Timid,Drought,31,31,31,31,31,31,4,0,0,252,0,252
Togekiss,Air Slash,Flamethrower,Dazzling Gleam,Thunder Wave,Scope Lens,Timid,Super Luck,31,31,31,31,31,31,4,0,0,252,0,252
Team 3
Latias,Calm Mind,Recover,Stored Power,Mystical Fire,Leftovers,Timid,Levitate,31,31,31,31,31,31,252,0,0,4,0,252
Latios,Draco Meteor,Surf,Thunderbolt,Psychic,Choice Specs,Timid,Levitate,31,31,31,31,31,31,4,0,0,252,0,252
Togekiss,Air Slash,Flamethrower,Dazzling Gleam,Thunder Wave,Scope Lens,Timid,Super Luck,31,31,31,31,31,31,4,0,0,252,0,252
