Bird Keeper Paula,Paula,6,7
6
Team 1
Heracross,Close Combat,Stone Edge,Megahorn,Earthquake,Focus Band,Jolly,Moxie,31,31,20,0,20,31,60,204,0,0,0,204
Aerodactyl,Swagger,Attract,Rock Slide,Roost,Leftovers,Careful,Pressure,31,31,20,0,31,20,204,60,0,0,204,0
Alakazam,Psyshock,Psychic,Focus Blast,Energy Ball,Life Orb,Modest,Magic Guard,31,0,20,31,20,31,60,0,0,204,0,204
Team 2
Blastoise,Double Team,Focus Punch,Aqua Jet,Gyro Ball,Iron Ball,Brave,Torrent,31,31,31,15,15,15,148,148,148,0,0,0
Slowking,Psychic,Scald,Trick Room,Ice Beam,Wise Glasses,Modest,Own Tempo,31,0,31,31,20,0,204,0,60,204,0,0
Gardevoir,Psychic,Shadow Ball,Thunder Wave,Confuse Ray,Lum Berry,Timid,Synchronize,31,0,20,31,20,31,60,0,0,204,0,204
7
Team 3
Drifblim,Hypnosis,Dream Eater,Rest,Charge Beam,Lum Berry,Modest,Unburden,31,0,20,31,20,31,60,0,0,204,0,204
Charizard,Flare Blitz,Aerial Ace,Crunch,Dragon Claw,Scope Lens,Adamant,Blaze,31,31,25,0,25,31,44,220,0,0,0,220
Crobat,Brave Bird,Zen Headbutt,Cross Poison,U-turn,Sharp Beak,Jolly,Inner Focus,31,31,25,0,25,31,36,220,0,0,0,252
