Rancher Pierce,Pierce,3,4
3
Team 1
Swellow,Fly,Endeavor,Facade,Quick Attack,Flame Orb,Adamant,Guts,31,31,0,0,0,31,108,108,0,0,0,108
Lunatone,Confusion,Cosmic Power,Light Screen,Sandstorm,Sitrus Berry,Quiet,Levitate,31,0,31,0,31,0,108,0,108,0,108,0
Bayleef,Razor Leaf,Synthesis,Safeguard,Light Screen,Bright Powder,Docile,Overgrow,31,0,0,31,0,31,108,0,0,108,0,108
Team 2
Bellossom,Solar Beam,Safeguard,Sunny Day,Synthesis,Power Herb,Modest,Chlorophyll,31,10,10,31,10,31,148,0,0,148,0,148
Mantine,Bubble Beam,Aerial Ace,Rain Dance,Psybeam,Mystic Water,Docile,Swift Swim,31,10,10,31,10,31,148,0,0,148,0,148
Jumpluff,Aerial Ace,Swagger,Psych Up,Synthesis,Lax Incense,Docile,Chlorophyll,31,0,0,31,0,31,148,0,0,148,0,148
4
Team 3
Purugly,Slash,U-turn,Attract,Fake Out,Silk Scarf,Adamant,Thick Fat,31,31,0,0,31,0,148,148,0,0,148,0
Misdreavus,Pain Split,Shadow Ball,Confuse Ray,Thunder Wave,Focus Band,Impish,Levitate,31,0,31,0,31,0,108,0,108,0,108,0
Furret,Slam,Protect,Helping Hand,Follow Me,Liechi Berry,Serious,Keen Eye,31,31,0,0,0,31,108,108,0,0,0,108
