Rich Boy Quinten,Quinten,5,6
5
Team 1
Typhlosion,Will-o-wisp,Focus Blast,Double Team,Fire Blast,Wide Lens,Hardy,Blaze,31,31,31,31,31,31,148,0,0,148,0,148
Victreebel,Leaf Blade,Poison Jab,Leech Life,Strength Sap,Sitrus Berry,Adamant,Gluttony,31,31,15,15,15,31,148,148,4,4,4,148
Absol,Slash,Night Slash,Double Team,Taunt,White Herb,Careful,Pressure,31,31,15,15,31,15,148,148,4,4,148,4
Team 2
Glalie,Protect,Substitute,Frost Breath,Sheer Cold,Leftovers,Timid,Moody,31,15,15,31,15,31,148,4,4,148,4,148
Raichu,Thunderbolt,Quick Attack,Slam,Iron Tail,Wide Lens,Docile,Lightning Rod,31,15,15,31,15,31,148,4,4,148,4,148
Breloom,Protect,Spore,Leech Seed,Low Sweep,Toxic Orb,Jolly,Poison Heal,31,15,31,15,15,31,148,4,148,4,4,148
6
Team 3
Shuckle,Wrap,Power Split,Toxic,Rest,Chesto Berry,Careful,Sturdy,31,20,31,0,31,20,204,60,0,0,204,0
Claydol,Rock Polish,Earthquake,Rock Slide,Psychic,Hard Stone,Hardy,Levitate,31,31,20,31,20,20,204,204,0,60,0,0
Donphan,Earthquake,Ice Shard,Rock Slide,Play Rough,Lum Berry,Adamant,Sturdy,31,31,20,0,20,31,60,204,20,0,20,204
