Ace Trainer♀ Regina,Regina,5,6
5
Team 1
Mr. Mime,Psychic,Reflect,Light Screen,Mimic,Sitrus Berry,Bold,Filter,31,15,31,31,15,15,148,4,148,148,4,4
Granbull,Thunder Wave,Bite,Rock Slide,Giga Impact,Razor Claw,Brave,Intimidate,31,31,31,15,15,15,148,148,148,4,4,4
Skarmory,Stealth Rock,Roar,Drill Peck,Roost,Leftovers,Careful,Sturdy,31,15,31,15,31,15,148,4,148,4,148,4
Team 2
Huntail,Whirlpool,Scary Face,Screech,Bite,Persim Berry,Quiet,Swift Swim,31,31,10,31,10,10,148,148,0,148,0,0
Golem,Endure,Earthquake,Flail,Rock Tomb,Liechi Berry,Jolly,Sturdy,31,31,15,15,15,31,148,148,4,4,4,148
Dewgong,Aqua Jet,Ice Shard,Fake Out,Protect,Razor Fang,Adamant,Thick Fat,31,31,15,15,15,31,148,148,4,4,4,148
6
Team 3
Gliscor,Earthquake,Guillotine,Fire Fang,Acrobatics,Sitrus Berry,Impish,Hyper Cutter,31,31,31,0,20,20,204,60,204,0,0,0
Golduck,Psychic,Disable,Surf,Brick Break,Pecha Berry,Naive,Cloud Nine,20,31,20,31,20,31,0,60,0,204,0,204
Gengar,Shadow Ball,Psychic,Energy Ball,Focus Blast,Focus Sash,Timid,Cursed Body,31,0,20,31,20,31,60,0,0,204,0,204
