Dragon Tamer♀ Rhett,Rhett,5,6
5
Team 1
Forretress,Gyro Ball,Counter,Spikes,Toxic Spikes,Occa Berry,Careful,Sturdy,31,31,15,15,31,15,148,148,4,4,148,4
Venomoth,Bug Buzz,Psybeam,Sleep Powder,Skill Swap,Persim Berry,Quirky,Shield Dust,31,0,0,31,0,31,148,0,0,148,0,148
Dodrio,Drill Peck,Tri Attack,Sleep Talk,Rest,Chesto Berry,Adamant,Early Bird,31,31,10,10,10,31,148,148,0,0,0,148
Team 2
Charizard,Flamethrower,Sunny Day,Focus Blast,Ancient Power,Charti Berry,Modest,Blaze,31,15,15,31,15,31,148,0,0,148,0,148
Tauros,Thrash,Zen Headbutt,Earthquake,Giga Impact,Lum Berry,Jolly,Intimidate,31,31,15,15,15,31,148,148,4,4,4,148
Swampert,Ancient Power,Muddy Water,Avalanche,Focus Blast,Quick Claw,Sassy,Torrent,31,15,31,15,31,15,148,4,148,4,148,4
6
Team 3
Ursaring,Facade,Earthquake,Rock Tomb,Protect,Flame Orb,Adamant,Guts,31,31,20,0,20,31,60,204,0,0,0,204
Poliwrath,Hydro Pump,Ice Beam,Focus Blast,Mind Reader,Rindo Berry,Modest,Water Absorb,31,0,20,31,20,31,204,0,0,204,0,60
Weavile,Night Slash,Ice Punch,Ice Shard,Shadow Claw,Razor Claw,Jolly,Pressure,31,31,20,0,20,31,60,204,0,0,0,204
