Jogger Rico,Rico,6,7
6
Team 1
Claydol,Rock Polish,Earthquake,Rock Slide,Psychic,Hard Stone,Hardy,Levitate,31,31,20,31,20,20,204,204,0,60,0,0
Ninetales,Solar Beam,Disable,Will-o-wisp,Flamethrower,Rawst Berry,Timid,Drought,31,31,31,31,31,31,60,0,0,204,0,204
Cradily,Stockpile,Recover,Leech Seed,Swagger,Focus Band,Bold,Storm Drain,31,0,31,20,31,20,204,0,204,60,0,0
Team 2
Drapion,Acupressure,Toxic Spikes,Crunch,Cross Poison,Rawst Berry,Adamant,Battle Armor,31,31,20,0,20,31,204,204,0,0,0,60
Weavile,Night Slash,Ice Punch,Ice Shard,Shadow Claw,Razor Claw,Jolly,Pressure,31,31,20,0,20,31,60,204,0,0,0,204
Honchkrow,Night Slash,Sky Attack,Brave Bird,Payback,Power Herb,Jolly,Super Luck,31,31,20,0,20,31,60,204,0,0,0,204
7
Team 3
Heracross,Close Combat,Stone Edge,Megahorn,Earthquake,Focus Band,Jolly,Moxie,31,31,20,0,20,31,60,204,0,0,0,204
Vaporeon,Scald,Ice Beam,Acid Armor,Rest,Leftovers,Bold,Water Absorb,31,0,31,31,25,25,220,0,220,44,0,0
Tangrowth,Leech Seed,Double Team,Stun Spore,Giga Drain,Big Root,Calm,Regenerator,31,0,25,31,31,25,220,0,0,44,220,0
