Clown River,River,M
M
Team 1
Ursaring,Facade,Aerial Ace,Sleep Talk,Rest,Flame Orb,Adamant,Guts,31,31,31,0,31,31,4,252,0,0,0,252
Porygon2,Ice Beam,Defense Curl,Recover,Tri Attack,Wise Glasses,Bold,Trace,31,0,31,31,31,31,252,0,252,4,0,0
Granbull,Ice Fang,Stone Edge,Crunch,Earthquake,Quick Claw,Adamant,Intimidate,31,31,31,0,31,31,4,252,0,0,0,252
Team 2
Walrein,Sheer Cold,Fissure,Sleep Talk,Rest,Bright Powder,Bold,Thick Fat,31,0,31,31,31,31,252,0,252,0,4,0
Abomasnow,Blizzard,Sheer Cold,Focus Blast,Water Pulse,Zoom Lens,Modest,Snow Warning,31,31,31,31,31,31,252,0,0,252,0,4
Ursaring,Facade,Aerial Ace,Sleep Talk,Rest,Flame Orb,Adamant,Guts,31,31,31,0,31,31,4,252,0,0,0,252
Team 3
Weavile,Night Slash,Ice Punch,Ice Shard,Swords Dance,Focus Sash,Jolly,Pickpocket,31,31,31,31,31,31,4,252,0,0,0,252
Slaking,Giga Impact,Earthquake,Night Slash,Hammer Arm,Sitrus Berry,Adamant,Truant,31,31,31,31,31,31,252,252,0,0,0,4
Suicune,Rest,Sleep Talk,Scald,Ice Beam,Leftovers,Bold,Pressure,31,31,31,31,31,31,252,0,252,4,0,0
Team 4
Weavile,Night Slash,Ice Punch,Ice Shard,Swords Dance,Focus Sash,Jolly,Pickpocket,31,31,31,31,31,31,4,252,0,0,0,252
Feraligatr,Waterfall,Ice Punch,Crunch,Dragon Dance,Life Orb,Jolly,Sheer Force,31,31,31,31,31,31,20,252,0,0,0,236
Raikou,Thunderbolt,Volt Switch,Shadow Ball,Scald,Choice Specs,Timid,Inner Focus,31,31,31,31,31,31,4,0,0,252,0,252
