Ruin Maniac Rocky,Rocky,6,7
6
Team 1
Kangaskhan,Thunderbolt,Focus Punch,Ice Beam,Drain Punch,Pecha Berry,Rash,Scrappy,31,31,15,31,15,15,148,148,4,148,4,4
Luxray,Charge,Charge Beam,Thunderbolt,Flash,Shuca Berry,Quiet,Intimidate,31,20,31,31,20,20,204,0,60,204,0,0
Toxicroak,Poison Jab,Drain Punch,Sucker Punch,Flatter,Black Glasses,Adamant,Dry Skin,31,31,20,0,20,31,60,204,0,0,0,204
Team 2
Rampardos,Thrash,Headbutt,Zen Headbutt,Head Smash,Persim Berry,Adamant,Mold Breaker,31,31,20,0,20,31,60,204,0,0,0,204
Ampharos,Thunder Wave,Facade,Fling,Rest,Toxic Orb,Mild,Static,31,20,31,20,31,0,204,0,60,0,204,0
Floatzel,Waterfall,Aqua Jet,Ice Beam,Focus Blast,Life Orb,Naive,Swift Swim,20,31,20,31,20,31,0,60,0,204,0,204
7
Team 3
Dusknoir,Curse,Pain Split,Ice Punch,Protect,Ganlon Berry,Impish,Pressure,31,31,31,0,25,25,220,44,220,0,0,0
Swampert,Earthquake,Waterfall,Hammer Arm,Curse,Lum Berry,Adamant,Torrent,31,31,31,0,25,25,220,220,44,0,0,0
Sceptile,Energy Ball,Dragon Pulse,Focus Blast,Synthesis,Bright Powder,Timid,Overgrow,31,0,25,31,25,31,44,0,0,220,0,220
