Aroma Lady Sadie,Sadie,2,3
2
Team 1
Nidorina,Double Kick,Bite,Aerial Ace,Flatter,Focus Band,Adamant,Poison Point,31,31,0,0,0,0,108,108,0,0,0,0
Chikorita,Magical Leaf,Reflect,Synthesis,Poison Powder,Leftovers,Bold,Overgrow,31,0,31,0,0,0,108,0,108,0,0,0
Seel,Aurora Beam,Dive,Encore,Surf,Aspear Berry,Hardy,Thick Fat,31,0,0,0,0,31,108,0,0,0,0,108
Team 2
Ariados,Sticky Web,Toxic Spikes,Night Shade,Toxic Thread,Focus Sash,Timid,Insomnia,31,0,0,0,0,31,108,0,0,0,0,108
Kabuto,Mega Drain,Ancient Power,Sand Attack,Protect,Sitrus Berry,Hardy,Battle Armor,31,0,0,31,0,0,108,0,0,108,0,0
Roselia,Magical Leaf,Toxic,Sludge Bomb,Cotton Spore,Black Sludge,Modest,Poison Point,0,0,0,31,0,31,0,0,0,108,0,108
3
Team 3
Pupitar,Dig,Bite,Scary Face,Sandstorm,Soft Sand,Adamant,Shed Skin,31,31,31,0,0,0,108,108,108,0,0,0
Vigoroth,Slash,Counter,Encore,Uproar,Focus Band,Lonely,Vital Spirit,31,31,0,0,0,31,108,108,0,0,0,108
Chimecho,Psychic,Take Down,Heal Bell,Safeguard,Twisted Spoon,Sassy,Levitate,31,0,31,31,0,0,108,0,108,108,0,0
