Cameraman Sammy,Sammy,3,4
3
Team 1
Beautifly,Bug Buzz,Mega Drain,Attract,Quiver Dance,Mental Herb,Modest,Swarm,0,0,0,31,0,31,0,0,0,108,0,108
Sealeo,Blizzard,Hail,Snore,Rest,Icy Rock,Relaxed,Ice Body,31,0,31,0,31,0,108,0,108,0,108,0
Croconaw,Slash,Water Pulse,Bite,Scary Face,Scope Lens,Docile,Torrent,31,31,31,0,0,0,108,108,108,0,0,0
Team 2
Solrock,Confusion,Cosmic Power,Light Screen,Sandstorm,Sitrus Berry,Quiet,Levitate,31,0,31,0,31,0,108,0,108,0,108,0
Seadra,Aurora Beam,Smokescreen,Water Gun,Rain Dance,Mystic Water,Sassy,Sniper,31,0,0,31,0,31,108,0,0,108,0,108
Furret,Slam,Protect,Helping Hand,Follow Me,Liechi Berry,Serious,Keen Eye,31,31,0,0,0,31,108,108,0,0,0,108
4
Team 3
Cherrim,Petal Dance,Weather Ball,Leech Seed,Sunny Day,Miracle Seed,Hardy,Flower Gift,31,31,0,31,0,0,108,108,0,108,0,0
Noctowl,Air Slash,Aerial Ace,Psychic,Reflect,Persim Berry,Relaxed,Keen Eye,31,0,31,31,0,0,148,0,148,148,0,0
Mantine,Bubble Beam,Aerial Ace,Rain Dance,Psybeam,Mystic Water,Docile,Swift Swim,31,10,10,31,10,31,148,0,0,148,0,148
