Veteran Santos,Santos,4,5
4
Team 1
Gorebyss,Hydro Pump,Psychic,Baton Pass,Shell Smash,Focus Sash,Modest,Swift Swim,31,10,10,31,10,31,148,0,0,148,0,148
Omastar,Bubble Beam,Rock Blast,Tickle,Ancient Power,Shell Bell,Quirky,Swift Swim,31,31,10,31,10,10,148,148,0,148,0,0
Dusclops,Will-o-wisp,Night Shade,Pain Split,Confuse Ray,Leftovers,Impish,Pressure,31,31,31,31,31,31,148,0,148,0,148,0
Team 2
Relicanth,Ancient Power,Water Pulse,Harden,Amnesia,Liechi Berry,Adamant,Sturdy,31,31,31,10,10,10,148,148,148,0,0,0
Lumineon,Brine,Gust,Whirlpool,U-turn,Rindo Berry,Modest,Storm Drain,31,10,10,31,10,31,148,0,0,148,0,148
Huntail,Whirlpool,Scary Face,Screech,Bite,Persim Berry,Quiet,Swift Swim,31,31,10,31,10,10,148,148,0,148,0,0
5
Team 3
Zangoose,Slash,Double Kick,Roar,Quick Attack,Persim Berry,Hardy,Toxic Boost,31,31,10,10,10,31,148,148,0,0,0,148
Skarmory,Stealth Rock,Roar,Drill Peck,Roost,Leftovers,Careful,Sturdy,31,15,31,15,31,15,148,4,148,4,148,4
Exploud,Boomburst,Fire Blast,Solar Beam,Focus Blast,Focus Band,Modest,Soundproof,31,15,15,31,15,31,148,4,4,148,4,148
