Ace Trainer♀ Sasha,Sasha,5,6,M
5
Team 1
Staraptor,Brave Bird,Close Combat,U-turn,Facade,Choice Band,Adamant,Intimidate,31,31,15,15,15,31,148,148,4,4,4,148
Charizard,Flamethrower,Sunny Day,Focus Blast,Ancient Power,Charti Berry,Modest,Blaze,31,15,15,31,15,31,148,0,0,148,0,148
Lopunny,Thunder Wave,Attract,Sweet Kiss,Focus Punch,Bright Powder,Careful,Limber,31,31,15,15,31,15,148,148,4,4,148,4
Team 2
Mr. Mime,Psychic,Reflect,Light Screen,Mimic,Sitrus Berry,Bold,Filter,31,15,31,31,15,15,148,4,148,148,4,4
Gorebyss,Hydro Pump,Psychic,Baton Pass,Shell Smash,Focus Sash,Modest,Swift Swim,31,10,10,31,10,31,148,0,0,148,0,148
Kabutops,Slash,Dig,Night Slash,Metal Sound,Scope Lens,Adamant,Swift Swim,31,31,10,10,10,31,148,148,0,0,0,148
6
Team 3
Gallade,Psycho Cut,Poison Jab,Thunder Wave,Confuse Ray,King's Rock,Jolly,Justified,31,31,20,0,20,31,60,204,0,0,0,204
Roserade,Leech Seed,Ingrain,Giga Drain,Substitute,Big Root,Bold,Poison Point,31,0,31,31,20,20,204,0,204,60,0,0
Aerodactyl,Swagger,Attract,Rock Slide,Roost,Leftovers,Careful,Pressure,31,31,20,0,31,20,204,60,0,0,204,0
M
Team 4
Salamence,Dragon Dance,Earthquake,Outrage,Crunch,Yache Berry,Adamant,Intimidate,31,31,31,0,31,31,4,252,0,0,0,252
Magnezone,Thunderbolt,Flash Cannon,Body Press,Tri Attack,Custap Berry,Modest,Sturdy,31,0,31,31,31,31,0,0,4,252,0,252
Suicune,Calm Mind,Rest,Scald,Ice Beam,Chesto Berry,Bold,Pressure,31,31,31,31,31,31,252,0,252,0,0,4
Team 5
Mamoswine,Earthquake,Icicle Spear,Ice Shard,Rock Tomb,Focus Sash,Jolly,Thick Fat,31,31,31,31,31,31,0,252,4,0,0,252
Zapdos,Discharge,Heat Wave,Roost,Hurricane,Leftovers,Bold,Static,31,0,31,31,31,31,252,0,252,4,0,0
Salamence,Dragon Dance,Earthquake,Outrage,Crunch,Yache Berry,Adamant,Intimidate,31,31,31,0,31,31,4,252,0,0,0,252
