Poké Fan♀ Selina,Selina,6,7
6
Team 1
Rampardos,Thrash,Headbutt,Zen Headbutt,Head Smash,Persim Berry,Adamant,Mold Breaker,31,31,20,0,20,31,60,204,0,0,0,204
Poliwrath,Hydro Pump,Ice Beam,Focus Blast,Mind Reader,Rindo Berry,Modest,Water Absorb,31,0,20,31,20,31,204,0,0,204,0,60
Lickilicky,Belly Drum,Rest,Explosion,Earthquake,Chesto Berry,Careful,Own Tempo,31,31,20,0,31,20,204,60,0,0,204,0
Team 2
Miltank,Defense Curl,Rollout,Milk Drink,Seismic Toss,Muscle Band,Impish,Thick Fat,31,31,31,0,20,20,204,204,60,0,0,0
Drapion,Acupressure,Toxic Spikes,Crunch,Cross Poison,Rawst Berry,Adamant,Battle Armor,31,31,20,0,20,31,204,204,0,0,0,60
Machamp,Counter,Dynamic Punch,Payback,Earthquake,Focus Sash,Adamant,No Guard,31,31,20,0,20,31,60,204,0,0,0,204
7
Team 3
Flareon,Will-o-wisp,Flare Blitz,Iron Tail,Quick Attack,Charcoal,Adamant,Flash Fire,31,31,31,31,31,31,220,220,44,0,0,0
Umbreon,Moonlight,Dark Pulse,Yawn,Protect,Leftovers,Bold,Inner Focus,31,0,31,25,31,25,220,0,220,0,44,0
Metagross,Magnet Rise,Rock Polish,Zen Headbutt,Meteor Mash,Occa Berry,Adamant,Clear Body,31,31,25,0,25,31,44,220,0,0,0,220
