Picnicker Serena,Serena,6,7
6
Team 1
Nidoqueen,Sludge Bomb,Ice Beam,Thunderbolt,Flamethrower,Life Orb,Modest,Sheer Force,31,0,20,31,20,31,60,0,0,204,0,204
Gliscor,Earthquake,Guillotine,Fire Fang,Acrobatics,Sitrus Berry,Impish,Hyper Cutter,31,31,31,0,20,20,204,60,204,0,0,0
Bastiodon,Metal Burst,Taunt,Iron Head,Stone Edge,Custap Berry,Adamant,Sturdy,31,31,20,0,20,31,60,204,0,0,0,204
Team 2
Ursaring,Facade,Earthquake,Rock Tomb,Protect,Flame Orb,Adamant,Guts,31,31,20,0,20,31,60,204,0,0,0,204
Feraligatr,Scary Face,Waterfall,Rock Slide,Ice Fang,King's Rock,Jolly,Torrent,31,31,15,15,15,31,148,148,0,0,0,148
Whiscash,Earthquake,Water Pulse,Tickle,Sandstorm,Leftovers,Relaxed,Hydration,31,15,31,31,15,15,148,4,148,148,4,4
7
Team 3
Dugtrio,Swagger,Attract,Sand Attack,Sucker Punch,Bright Powder,Careful,Arena Trap,25,31,25,0,31,31,0,220,0,0,220,44
Crobat,Brave Bird,Zen Headbutt,Cross Poison,U-turn,Sharp Beak,Jolly,Inner Focus,31,31,25,0,25,31,36,220,0,0,0,252
Snorlax,Body Slam,Earthquake,Curse,Yawn,Leftovers,Adamant,Immunity,31,31,31,0,25,25,44,220,220,0,0,0
