Rancher Sheldon,Sheldon,3,4
3
Team 1
Castform,Ember,Water Pulse,Shock Wave,Weather Ball,Persim Berry,Hasty,Forecast,31,0,0,31,0,31,108,0,0,108,0,108
Bibarel,Defense Curl,Rollout,Waterfall,Yawn,Metronome,Adamant,Simple,31,31,31,0,0,0,108,108,108,0,0,0
Charmeleon,Slash,Fire Spin,Swords Dance,Aerial Ace,Scope Lens,Naughty,Blaze,31,31,0,0,0,31,108,108,0,0,0,108
Team 2
Masquerain,Hydro Pump,Air Slash,Bug Buzz,Stun Spore,Sitrus Berry,Timid,Intimidate,31,0,0,31,0,31,108,0,0,108,0,108
Qwilfish,Bubble Beam,Pin Missile,Spikes,Minimize,Cheri Berry,Impish,Intimidate,31,0,31,0,31,0,108,0,108,0,108,0
Quilava,Flame Wheel,Fury Swipes,Swift,Smokescreen,Focus Band,Adamant,Blaze,31,31,0,0,31,0,108,108,0,0,108,0
4
Team 3
Clefable,Moonblast,Flamethrower,Thunderbolt,Moonlight,Life Orb,Modest,Magic Guard,31,10,10,31,10,31,148,0,0,148,0,148
Golbat,Poison Fang,Confuse Ray,Wing Attack,Steel Wing,Scope Lens,Jolly,Inner Focus,31,31,0,0,0,31,148,148,0,0,0,148
Stantler,Extrasensory,Confuse Ray,Stomp,Sand Attack,Twisted Spoon,Gentle,Intimidate,31,10,10,31,10,31,148,0,0,148,0,148
