Idol Sidney,Sidney,M
M
Team 1
Regigigas,Swagger,Psych Up,Crush Grip,Aerial Ace,Bright Powder,Jolly,Slow Start,31,31,31,31,31,31,252,4,0,0,0,252
Suicune,Rest,Icy Wind,Calm Mind,Scald,Wacan Berry,Bold,Pressure,31,31,31,31,31,31,252,0,252,0,0,0
Articuno,Agility,Ice Beam,Water Pulse,Rest,Chesto Berry,Modest,Pressure,31,31,31,31,31,31,252,0,0,252,0,4
Team 2
Snorlax,Body Slam,Curse,Heavy Slam,Yawn,Leftovers,Impish,Immunity,31,31,31,0,31,31,252,4,252,0,0,0
Heatran,Earth Power,Magma Storm,Dark Pulse,Flash Cannon,Bright Powder,Timid,Flash Fire,31,31,31,31,31,31,252,4,0,252,0,0
Dragonite,Outrage,Earthquake,Thunder Punch,Brick Break,Lum Berry,Jolly,Multiscale,31,31,31,0,31,31,4,252,0,0,0,252
Team 3
Porygon-Z,Tri Attack,Thunderbolt,Ice Beam,Shadow Ball,Silk Scarf,Timid,Adaptability,31,31,31,31,31,31,4,0,0,252,0,252
Cradily,Giga Drain,Sludge Bomb,Stockpile,Leech Seed,Leftovers,Bold,Storm Drain,31,31,31,31,31,31,252,0,252,4,0,0
Garchomp,Earthquake,Outrage,Rock Tomb,Swords Dance,Focus Sash,Jolly,Rough Skin,31,31,31,0,31,31,4,252,0,0,0,252
Team 4
Porygon-Z,Tri Attack,Thunderbolt,Ice Beam,Shadow Ball,Silk Scarf,Timid,Adaptability,31,31,31,31,31,31,4,0,0,252,0,252
Gengar,Hypnosis,Dream Eater,Shadow Ball,Focus Blast,Bright Powder,Timid,Cursed Body,31,31,31,31,31,31,4,0,0,252,0,252
Garchomp,Earthquake,Outrage,Rock Tomb,Swords Dance,Focus Sash,Jolly,Rough Skin,31,31,31,0,31,31,4,252,0,0,0,252
