Cowgirl Sophie,Sophie,7,M
7
Team 1
Flareon,Will-o-wisp,Flare Blitz,Iron Tail,Quick Attack,Charcoal,Adamant,Flash Fire,31,31,31,31,31,31,220,220,44,0,0,0
Flygon,Earthquake,Dragon Claw,Stone Edge,Dragon Dance,Soft Sand,Adamant,Levitate,31,31,25,0,25,31,44,220,0,0,0,220
Typhlosion,Eruption,Earthquake,Endure,Reversal,Salac Berry,Docile,Blaze,0,31,25,31,25,31,0,44,0,220,0,220
M
Team 2
Empoleon,Drill Peck,Brick Break,Aqua Jet,Ice Beam,Wacan Berry,Docile,Torrent,0,31,25,31,25,31,0,220,0,220,0,44
Roserade,Leech Seed,Ingrain,Giga Drain,Substitute,Big Root,Bold,Poison Point,31,0,31,31,20,20,204,0,204,60,0,0
Politoed,Perish Song,Ice Beam,Surf,Hypnosis,Quick Claw,Impish,Drizzle,31,31,31,0,20,20,204,60,204,0,0,0
Team 3
Gliscor,Earthquake,Guillotine,Poison Jab,Thunder Fang,Yache Berry,Jolly,Hyper Cutter,31,31,31,0,31,31,4,252,0,0,0,252
Tentacruel,Surf,Sludge Bomb,Giga Drain,Mirror Coat,Black Sludge,Calm,Clear Body,31,0,31,31,31,31,252,0,0,4,252,0
Regirock,Sandstorm,Stone Edge,Earthquake,Iron Defense,Smooth Rock,Adamant,Sturdy,31,31,31,31,31,31,252,252,0,0,0,4
