Hiker Stetson,Stetson,6,7
6
Team 1
Empoleon,Aqua Ring,Double Team,Whirlpool,Rest,Chesto Berry,Calm,Torrent,31,15,15,31,31,15,148,4,4,148,148,4
Yanmega,Aerial Ace,Steel Wing,Thief,U-turn,Charti Berry,Adamant,Speed Boost,31,31,20,0,20,31,60,204,0,0,0,204
Houndoom,Counter,Flame Charge,Crunch,Thunder Fang,Focus Sash,Jolly,Flash Fire,31,31,20,0,20,31,60,204,0,0,0,204
Team 2
Typhlosion,Will-o-wisp,Focus Blast,Double Team,Fire Blast,Wide Lens,Hardy,Blaze,31,31,31,31,31,31,148,0,0,148,0,148
Toxicroak,Poison Jab,Drain Punch,Sucker Punch,Flatter,Black Glasses,Adamant,Dry Skin,31,31,20,0,20,31,60,204,0,0,0,204
Aerodactyl,Swagger,Attract,Rock Slide,Roost,Leftovers,Careful,Pressure,31,31,20,0,31,20,204,60,0,0,204,0
7
Team 3
Nidoking,Sludge Bomb,Ice Beam,Thunderbolt,Flamethrower,Life Orb,Modest,Sheer Force,31,0,20,31,20,31,60,0,0,204,0,204
Blissey,Ice Beam,Thunderbolt,Flamethrower,Soft-boiled,Leftovers,Bold,Serene Grace,31,31,31,31,31,31,0,0,220,0,44,220
Infernape,Flare Blitz,Thunder Punch,Close Combat,U-turn,Muscle Band,Jolly,Blaze,31,31,25,0,25,31,36,220,0,0,0,252
