Guitarist Tayler,Tayler,6,7
6
Team 1
Claydol,Rock Polish,Earthquake,Rock Slide,Psychic,Hard Stone,Hardy,Levitate,31,31,20,31,20,20,204,204,0,60,0,0
Ninetales,Solar Beam,Disable,Will-o-wisp,Flamethrower,Rawst Berry,Timid,Drought,31,31,31,31,31,31,60,0,0,204,0,204
Gallade,Psycho Cut,Poison Jab,Thunder Wave,Confuse Ray,King's Rock,Jolly,Justified,31,31,20,0,20,31,60,204,0,0,0,204
Team 2
Ampharos,Thunder Wave,Facade,Fling,Rest,Toxic Orb,Mild,Static,31,20,31,20,31,0,204,0,60,0,204,0
Staraptor,Brave Bird,Close Combat,U-turn,Facade,Choice Band,Adamant,Intimidate,31,31,15,15,15,31,148,148,4,4,4,148
Marowak,Brick Break,Earthquake,Rock Tomb,Iron Head,Thick Club,Jolly,Battle Armor,31,31,15,15,15,31,148,148,4,4,4,148
7
Team 3
Togekiss,Extreme Speed,Aerial Ace,Steel Wing,Roost,Wide Lens,Adamant,Hustle,31,31,25,0,25,31,44,220,0,0,0,220
Swampert,Earthquake,Waterfall,Hammer Arm,Curse,Lum Berry,Adamant,Torrent,31,31,31,0,25,25,220,220,44,0,0,0
Blissey,Ice Beam,Thunderbolt,Flamethrower,Soft-boiled,Leftovers,Bold,Serene Grace,31,31,31,31,31,31,0,0,220,0,44,220
