Pokémon Breeder♀ Tiffani,Tiffani,7,M
7
Team 1
Sceptile,Energy Ball,Dragon Pulse,Focus Blast,Synthesis,Bright Powder,Timid,Overgrow,31,0,25,31,25,31,44,0,0,220,0,220
Flygon,Earthquake,Dragon Claw,Stone Edge,Dragon Dance,Soft Sand,Adamant,Levitate,31,31,25,0,25,31,44,220,0,0,0,220
Slaking,Counter,Encore,Body Slam,Slack Off,Sitrus Berry,Careful,Truant,31,31,25,0,31,25,44,220,0,0,220,0
M
Team 2
Blastoise,Skull Bash,Earthquake,Waterfall,Aqua Jet,Power Herb,Adamant,Torrent,31,31,25,0,25,31,44,220,0,0,0,220
Dusknoir,Curse,Pain Split,Ice Punch,Protect,Ganlon Berry,Impish,Pressure,31,31,31,0,25,25,220,44,220,0,0,0
Arcanine,Flamethrower,Dragon Pulse,Will-o-wisp,Extreme Speed,Lum Berry,Modest,Intimidate,31,31,31,31,31,31,68,0,0,220,0,220
Team 3
Mismagius,Shadow Ball,Payback,Energy Ball,Psychic,Spell Tag,Relaxed,Levitate,31,31,31,31,31,31,252,0,252,4,0,0
Glalie,Ice Beam,Shadow Ball,Water Pulse,Safeguard,Scope Lens,Modest,Moody,31,31,31,31,31,31,4,0,0,252,0,252
Hippowdon,Earthquake,Ice Fang,Slack Off,Yawn,Leftovers,Careful,Sand Stream,31,31,31,0,31,31,252,0,4,0,252,0
