Psychic Tina,Tina,4,5
4
Team 1
Cherrim,Petal Dance,Weather Ball,Leech Seed,Sunny Day,Miracle Seed,Hardy,Flower Gift,31,31,0,31,0,0,108,108,0,108,0,0
Fearow,Drill Peck,Tri Attack,Facade,Roost,Sharp Beak,Adamant,Keen Eye,31,31,0,0,0,31,148,148,0,0,0,148
Kingler,Crabhammer,Metal Claw,Knock Off,Protect,Scope Lens,Adamant,Hyper Cutter,31,31,10,10,10,31,148,148,0,0,0,148
Team 2
Huntail,Whirlpool,Scary Face,Screech,Bite,Persim Berry,Quiet,Swift Swim,31,31,10,31,10,10,148,148,0,148,0,0
Carnivine,Power Whip,Crunch,Sweet Scent,Leech Seed,Rose Incense,Sassy,Levitate,31,0,31,0,31,0,148,0,148,0,148,0
Primeape,Cross Chop,Stomping Tantrum,Swagger,Thief,Sitrus Berry,Quirky,Defiant,31,31,0,0,0,31,148,148,0,0,0,148
Team 3
Golbat,Poison Fang,Confuse Ray,Wing Attack,Steel Wing,Scope Lens,Jolly,Inner Focus,31,31,0,0,0,31,148,148,0,0,0,148
Mantine,Bubble Beam,Aerial Ace,Rain Dance,Psybeam,Mystic Water,Docile,Swift Swim,31,10,10,31,10,31,148,0,0,148,0,148
Hitmonlee,Blaze Kick,Close Combat,Focus Energy,Facade,Black Belt,Adamant,Limber,31,31,0,0,0,31,148,148,0,0,0,148
5
Team 4
Sceptile,Leech Seed,Double Team,Dragon Pulse,Giga Drain,Leftovers,Bold,Overgrow,31,15,31,31,15,15,148,4,148,148,4,4
Swalot,Stockpile,Ice Beam,Shadow Ball,Sludge Bomb,Black Sludge,Modest,Sticky Hold,31,10,10,31,10,31,148,0,0,148,0,148
Magmar,Flamethrower,Smokescreen,Brick Break,Psychic,Rawst Berry,Relaxed,Flame Body,31,31,10,31,10,10,148,148,0,148,0,0
