Youngster Tobias,Tobias,5,6
5
Team 1
Quagsire,Body Slam,Rock Slide,Ice Beam,Brick Break,Leftovers,Brave,Water Absorb,31,31,31,15,15,15,148,148,148,4,4,4
Rhydon,Ice Beam,Thunderbolt,Dragon Pulse,Surf,Wise Glasses,Quiet,Lightning Rod,31,15,31,31,15,15,148,4,148,148,4,4
Blaziken,Aerial Ace,Flare Blitz,Will-o-wisp,Bulk Up,Shell Bell,Adamant,Blaze,31,31,31,31,31,31,148,148,4,4,4,148
Team 2
Quagsire,Body Slam,Rock Slide,Ice Beam,Brick Break,Leftovers,Brave,Water Absorb,31,31,31,15,15,15,148,148,148,4,4,4
Breloom,Protect,Spore,Leech Seed,Low Sweep,Toxic Orb,Jolly,Poison Heal,31,15,31,15,15,31,148,4,148,4,4,148
Feraligatr,Scary Face,Waterfall,Rock Slide,Ice Fang,King's Rock,Jolly,Torrent,31,31,15,15,15,31,148,148,0,0,0,148
6
Team 3
Heracross,Close Combat,Stone Edge,Megahorn,Earthquake,Focus Band,Jolly,Moxie,31,31,20,0,20,31,60,204,0,0,0,204
Rampardos,Thrash,Headbutt,Zen Headbutt,Head Smash,Persim Berry,Adamant,Mold Breaker,31,31,20,0,20,31,60,204,0,0,0,204
Altaria,Dragon Pulse,Roost,Perish Song,Protect,Petaya Berry,Calm,Cloud Nine,31,0,20,31,31,20,204,0,0,60,204,0
