Guitarist Tory,Tory,6,7
6
Team 1
Altaria,Dragon Pulse,Roost,Perish Song,Protect,Petaya Berry,Calm,Cloud Nine,31,0,20,31,31,20,204,0,0,60,204,0
Muk,Poison Jab,Minimize,Acid Armor,Brick Break,Black Sludge,Impish,Poison Touch,31,31,31,0,20,20,204,60,204,0,0,0
Floatzel,Waterfall,Aqua Jet,Ice Beam,Focus Blast,Life Orb,Naive,Swift Swim,20,31,20,31,20,31,0,60,0,204,0,204
Team 2
Gallade,Psycho Cut,Poison Jab,Thunder Wave,Confuse Ray,King's Rock,Jolly,Justified,31,31,20,0,20,31,60,204,0,0,0,204
Pinsir,Facade,Guillotine,Earthquake,Swords Dance,Toxic Orb,Jolly,Mold Breaker,31,31,20,0,20,31,60,204,0,0,0,204
Charizard,Flamethrower,Sunny Day,Focus Blast,Ancient Power,Charti Berry,Modest,Blaze,31,15,15,31,15,31,148,0,0,148,0,148
7
Team 3
Lapras,Dragon Dance,Body Slam,Waterfall,Ice Shard,Lum Berry,Adamant,Shell Armor,31,31,25,0,25,31,44,220,0,0,0,220
Charizard,Flare Blitz,Aerial Ace,Crunch,Dragon Claw,Scope Lens,Adamant,Blaze,31,31,25,0,25,31,44,220,0,0,0,220
Blissey,Ice Beam,Thunderbolt,Flamethrower,Soft-boiled,Leftovers,Bold,Serene Grace,31,31,31,31,31,31,0,0,220,0,44,220
