Ruin Maniac Trace,Trace,6,7
6
Team 1
Abomasnow,Blizzard,Earthquake,Brick Break,Giga Drain,Occa Berry,Mild,Snow Warning,31,31,20,31,20,20,204,60,0,204,0,0
Kangaskhan,Thunderbolt,Focus Punch,Ice Beam,Drain Punch,Pecha Berry,Rash,Scrappy,31,31,15,31,15,15,148,148,4,148,4,4
Quagsire,Body Slam,Rock Slide,Ice Beam,Brick Break,Leftovers,Brave,Water Absorb,31,31,31,15,15,15,148,148,148,4,4,4
Team 2
Granbull,Thunder Wave,Bite,Rock Slide,Giga Impact,Razor Claw,Brave,Intimidate,31,31,31,15,15,15,148,148,148,4,4,4
Mismagius,Psychic,Confuse Ray,Perish Song,Mean Look,Colbur Berry,Calm,Levitate,31,0,31,20,31,20,204,0,0,60,204,0
Porygon2,Magnet Rise,Conversion,Recover,Charge Beam,Leftovers,Calm,Analytic,31,0,20,31,31,20,204,0,0,60,204,0
7
Team 3
Gallade,Psycho Cut,Poison Jab,Thunder Wave,Confuse Ray,King's Rock,Jolly,Justified,31,31,20,0,20,31,60,204,0,0,0,204
Venusaur,Leech Seed,Ingrain,Giga Drain,Sleep Powder,Big Root,Bold,Overgrow,31,0,31,31,25,25,220,0,220,44,0,0
Tyranitar,Dark Pulse,Ice Beam,Flamethrower,Ancient Power,Expert Belt,Modest,Sand Stream,31,0,25,31,25,31,44,0,0,220,0,220
