Poké Kid Tracy,Tracy,6,7
6
Team 1
Venusaur,Skull Bash,Worry Seed,Earthquake,Petal Dance,Power Herb,Brave,Overgrow,31,31,15,15,15,31,148,148,0,0,0,148
Roserade,Leech Seed,Ingrain,Giga Drain,Substitute,Big Root,Bold,Poison Point,31,0,31,31,20,20,204,0,204,60,0,0
Tentacruel,Acupressure,Rest,Sleep Talk,Surf,Leftovers,Calm,Liquid Ooze,31,0,20,31,31,20,204,0,0,60,204,0
Team 2
Alakazam,Psyshock,Psychic,Focus Blast,Energy Ball,Life Orb,Modest,Magic Guard,31,0,20,31,20,31,60,0,0,204,0,204
Mismagius,Psychic,Confuse Ray,Perish Song,Mean Look,Colbur Berry,Calm,Levitate,31,0,31,20,31,20,204,0,0,60,204,0
Pinsir,Facade,Guillotine,Earthquake,Swords Dance,Toxic Orb,Jolly,Mold Breaker,31,31,20,0,20,31,60,204,0,0,0,204
7
Team 3
Empoleon,Drill Peck,Brick Break,Aqua Jet,Ice Beam,Wacan Berry,Docile,Torrent,0,31,25,31,25,31,0,220,0,220,0,44
Aerodactyl,Swagger,Attract,Rock Slide,Roost,Leftovers,Careful,Pressure,31,31,20,0,31,20,204,60,0,0,204,0
Gardevoir,Psychic,Shadow Ball,Thunder Wave,Confuse Ray,Lum Berry,Timid,Synchronize,31,0,20,31,20,31,60,0,0,204,0,204
