Guitarist Tyrell,Tyrell,M
M
Team 1
Espeon,Reflect,Shadow Ball,Psychic,Morning Sun,Bright Powder,Timid,Magic Bounce,31,0,31,31,31,31,4,0,0,252,0,252
Cresselia,Double Team,Moonlight,Calm Mind,Ice Beam,Lum Berry,Bold,Levitate,31,31,31,31,31,31,252,0,252,0,4,0
Froslass,Shadow Ball,Blizzard,Attract,Thunderbolt,Wise Glasses,Timid,Cursed Body,31,0,31,31,31,31,4,0,0,252,0,252
Team 2
Bastiodon,Sandstorm,Thunder,Blizzard,Fire Blast,Quick Claw,Modest,Sturdy,31,0,31,31,31,31,252,0,4,252,0,0
Gyarados,Rest,Earthquake,Dragon Dance,Waterfall,Leftovers,Careful,Intimidate,31,31,31,0,31,31,252,4,0,0,252,0
Miltank,Endure,Reversal,Milk Drink,Rock Slide,Salac Berry,Jolly,Scrappy,31,31,31,31,31,31,4,252,0,0,0,252
Team 3
Mamoswine,Earthquake,Icicle Spear,Ice Shard,Rock Tomb,Focus Sash,Jolly,Thick Fat,31,31,31,31,31,31,0,252,4,0,0,252
Miltank,Defense Curl,Rollout,Milk Drink,Thunder Wave,Metronome,Adamant,Thick Fat,31,31,31,31,31,31,4,252,252,0,0,0
Entei,Sacred Fire,Extreme Speed,Crunch,Stone Edge,Choice Band,Adamant,Inner Focus,31,31,31,31,31,31,4,252,0,0,0,252
Team 4
Mamoswine,Earthquake,Icicle Spear,Ice Shard,Rock Tomb,Focus Sash,Jolly,Thick Fat,31,31,31,31,31,31,0,252,4,0,0,252
Scizor,Bullet Punch,Thief,Roost,Swords Dance,Sitrus Berry,Adamant,Technician,31,31,31,31,31,31,236,252,20,0,0,0
Entei,Sacred Fire,Extreme Speed,Crunch,Stone Edge,Choice Band,Adamant,Inner Focus,31,31,31,31,31,31,4,252,0,0,0,252
